"model_id","datetime","variable","horizon","prediction","param_set","epochs","dropout","num_layers","hidden_feature_size","weight_decay"
"LSTM",2018-10-07,"chlorophyll-a",0,4.87312984466553,64,200,1e-04,3,16,0
"LSTM",2018-10-08,"chlorophyll-a",0,4.74990081787109,64,200,1e-04,3,16,0
"LSTM",2018-10-09,"chlorophyll-a",0,4.86672973632812,64,200,1e-04,3,16,0
"LSTM",2018-10-10,"chlorophyll-a",0,4.62282657623291,64,200,1e-04,3,16,0
"LSTM",2018-10-11,"chlorophyll-a",0,4.01431608200073,64,200,1e-04,3,16,0
"LSTM",2018-10-12,"chlorophyll-a",0,3.63542604446411,64,200,1e-04,3,16,0
"LSTM",2018-10-13,"chlorophyll-a",0,3.55392169952393,64,200,1e-04,3,16,0
"LSTM",2018-10-14,"chlorophyll-a",0,3.6760401725769,64,200,1e-04,3,16,0
"LSTM",2018-10-15,"chlorophyll-a",0,4.01172733306885,64,200,1e-04,3,16,0
"LSTM",2018-10-16,"chlorophyll-a",0,4.14795398712158,64,200,1e-04,3,16,0
"LSTM",2018-10-17,"chlorophyll-a",0,4.1907114982605,64,200,1e-04,3,16,0
"LSTM",2018-10-18,"chlorophyll-a",0,4.22457218170166,64,200,1e-04,3,16,0
"LSTM",2018-10-19,"chlorophyll-a",0,4.23037099838257,64,200,1e-04,3,16,0
"LSTM",2018-10-20,"chlorophyll-a",0,4.21893310546875,64,200,1e-04,3,16,0
"LSTM",2018-10-21,"chlorophyll-a",0,4.21492671966553,64,200,1e-04,3,16,0
"LSTM",2018-10-22,"chlorophyll-a",0,4.21929168701172,64,200,1e-04,3,16,0
"LSTM",2018-10-23,"chlorophyll-a",0,4.19503545761108,64,200,1e-04,3,16,0
"LSTM",2018-10-24,"chlorophyll-a",0,4.22580528259277,64,200,1e-04,3,16,0
"LSTM",2018-10-25,"chlorophyll-a",0,4.22943496704102,64,200,1e-04,3,16,0
"LSTM",2018-10-26,"chlorophyll-a",0,4.21997737884521,64,200,1e-04,3,16,0
"LSTM",2018-10-27,"chlorophyll-a",0,4.20203161239624,64,200,1e-04,3,16,0
"LSTM",2018-10-28,"chlorophyll-a",0,4.22443628311157,64,200,1e-04,3,16,0
"LSTM",2018-10-29,"chlorophyll-a",0,4.24020910263062,64,200,1e-04,3,16,0
"LSTM",2018-10-30,"chlorophyll-a",0,4.26259899139404,64,200,1e-04,3,16,0
"LSTM",2018-10-31,"chlorophyll-a",0,4.28387832641602,64,200,1e-04,3,16,0
"LSTM",2018-11-01,"chlorophyll-a",0,4.2875075340271,64,200,1e-04,3,16,0
"LSTM",2018-11-02,"chlorophyll-a",0,4.25875043869019,64,200,1e-04,3,16,0
"LSTM",2018-11-03,"chlorophyll-a",0,4.23353719711304,64,200,1e-04,3,16,0
"LSTM",2018-11-04,"chlorophyll-a",0,4.2503776550293,64,200,1e-04,3,16,0
"LSTM",2018-11-05,"chlorophyll-a",0,4.22754383087158,64,200,1e-04,3,16,0
"LSTM",2018-11-06,"chlorophyll-a",0,4.19882154464722,64,200,1e-04,3,16,0
"LSTM",2018-11-07,"chlorophyll-a",0,4.19654893875122,64,200,1e-04,3,16,0
"LSTM",2018-11-08,"chlorophyll-a",0,4.20619773864746,64,200,1e-04,3,16,0
"LSTM",2018-11-09,"chlorophyll-a",0,4.18464279174805,64,200,1e-04,3,16,0
"LSTM",2018-11-10,"chlorophyll-a",0,4.14437389373779,64,200,1e-04,3,16,0
"LSTM",2018-11-11,"chlorophyll-a",0,4.1428370475769,64,200,1e-04,3,16,0
"LSTM",2018-11-12,"chlorophyll-a",0,4.12983179092407,64,200,1e-04,3,16,0
"LSTM",2018-11-13,"chlorophyll-a",0,4.14188575744629,64,200,1e-04,3,16,0
"LSTM",2018-11-14,"chlorophyll-a",0,4.16586875915527,64,200,1e-04,3,16,0
"LSTM",2018-11-15,"chlorophyll-a",0,4.19705295562744,64,200,1e-04,3,16,0
"LSTM",2018-11-16,"chlorophyll-a",0,4.24195194244385,64,200,1e-04,3,16,0
"LSTM",2018-11-17,"chlorophyll-a",0,4.33879089355469,64,200,1e-04,3,16,0
"LSTM",2018-11-18,"chlorophyll-a",0,4.44298458099365,64,200,1e-04,3,16,0
"LSTM",2018-11-19,"chlorophyll-a",0,4.60132122039795,64,200,1e-04,3,16,0
"LSTM",2018-11-20,"chlorophyll-a",0,4.73699855804443,64,200,1e-04,3,16,0
"LSTM",2018-11-21,"chlorophyll-a",0,4.87373018264771,64,200,1e-04,3,16,0
"LSTM",2018-11-22,"chlorophyll-a",0,4.98396301269531,64,200,1e-04,3,16,0
"LSTM",2018-11-23,"chlorophyll-a",0,5.05786752700806,64,200,1e-04,3,16,0
"LSTM",2018-11-24,"chlorophyll-a",0,5.21025276184082,64,200,1e-04,3,16,0
"LSTM",2018-11-25,"chlorophyll-a",0,5.47843456268311,64,200,1e-04,3,16,0
"LSTM",2018-11-26,"chlorophyll-a",0,5.7342381477356,64,200,1e-04,3,16,0
"LSTM",2018-11-27,"chlorophyll-a",0,5.94221162796021,64,200,1e-04,3,16,0
"LSTM",2018-11-28,"chlorophyll-a",0,6.17477321624756,64,200,1e-04,3,16,0
"LSTM",2018-11-29,"chlorophyll-a",0,6.41726303100586,64,200,1e-04,3,16,0
"LSTM",2018-11-30,"chlorophyll-a",0,6.52187538146973,64,200,1e-04,3,16,0
"LSTM",2018-12-01,"chlorophyll-a",0,6.67398071289062,64,200,1e-04,3,16,0
"LSTM",2018-12-02,"chlorophyll-a",0,6.8251633644104,64,200,1e-04,3,16,0
"LSTM",2018-12-03,"chlorophyll-a",0,6.98477840423584,64,200,1e-04,3,16,0
"LSTM",2018-12-04,"chlorophyll-a",0,7.09019088745117,64,200,1e-04,3,16,0
"LSTM",2018-12-05,"chlorophyll-a",0,7.20362949371338,64,200,1e-04,3,16,0
"LSTM",2018-12-06,"chlorophyll-a",0,7.31719493865967,64,200,1e-04,3,16,0
"LSTM",2018-12-07,"chlorophyll-a",0,7.4127082824707,64,200,1e-04,3,16,0
"LSTM",2018-12-08,"chlorophyll-a",0,7.50291776657104,64,200,1e-04,3,16,0
"LSTM",2018-12-09,"chlorophyll-a",0,7.57182121276855,64,200,1e-04,3,16,0
"LSTM",2018-12-10,"chlorophyll-a",0,7.67230224609375,64,200,1e-04,3,16,0
"LSTM",2018-12-11,"chlorophyll-a",0,7.76705837249756,64,200,1e-04,3,16,0
"LSTM",2018-12-12,"chlorophyll-a",0,7.83239269256592,64,200,1e-04,3,16,0
"LSTM",2018-12-13,"chlorophyll-a",0,7.87021064758301,64,200,1e-04,3,16,0
"LSTM",2018-12-14,"chlorophyll-a",0,7.91647481918335,64,200,1e-04,3,16,0
"LSTM",2018-12-15,"chlorophyll-a",0,7.93968868255615,64,200,1e-04,3,16,0
"LSTM",2018-12-16,"chlorophyll-a",0,7.98422384262085,64,200,1e-04,3,16,0
"LSTM",2018-12-17,"chlorophyll-a",0,8.01480388641357,64,200,1e-04,3,16,0
"LSTM",2018-12-18,"chlorophyll-a",0,8.03279972076416,64,200,1e-04,3,16,0
"LSTM",2018-12-19,"chlorophyll-a",0,8.0577392578125,64,200,1e-04,3,16,0
"LSTM",2018-12-20,"chlorophyll-a",0,8.04851531982422,64,200,1e-04,3,16,0
"LSTM",2018-12-21,"chlorophyll-a",0,8.09103298187256,64,200,1e-04,3,16,0
"LSTM",2018-12-22,"chlorophyll-a",0,8.22748947143555,64,200,1e-04,3,16,0
"LSTM",2018-12-23,"chlorophyll-a",0,8.33584976196289,64,200,1e-04,3,16,0
"LSTM",2018-12-24,"chlorophyll-a",0,8.39963722229004,64,200,1e-04,3,16,0
"LSTM",2018-12-25,"chlorophyll-a",0,8.44922256469727,64,200,1e-04,3,16,0
"LSTM",2018-12-26,"chlorophyll-a",0,8.51828956604004,64,200,1e-04,3,16,0
"LSTM",2018-12-27,"chlorophyll-a",0,8.52486133575439,64,200,1e-04,3,16,0
"LSTM",2018-12-28,"chlorophyll-a",0,8.5808219909668,64,200,1e-04,3,16,0
"LSTM",2018-12-29,"chlorophyll-a",0,8.60142230987549,64,200,1e-04,3,16,0
"LSTM",2018-12-30,"chlorophyll-a",0,8.61173915863037,64,200,1e-04,3,16,0
"LSTM",2018-12-31,"chlorophyll-a",0,8.57223415374756,64,200,1e-04,3,16,0
"LSTM",2019-01-01,"chlorophyll-a",0,8.65238189697266,64,200,1e-04,3,16,0
"LSTM",2019-01-02,"chlorophyll-a",0,8.70584011077881,64,200,1e-04,3,16,0
"LSTM",2019-01-03,"chlorophyll-a",0,8.70732593536377,64,200,1e-04,3,16,0
"LSTM",2019-01-04,"chlorophyll-a",0,8.67871284484863,64,200,1e-04,3,16,0
"LSTM",2019-01-05,"chlorophyll-a",0,8.7192440032959,64,200,1e-04,3,16,0
"LSTM",2019-01-06,"chlorophyll-a",0,8.65780544281006,64,200,1e-04,3,16,0
"LSTM",2019-01-07,"chlorophyll-a",0,8.57063388824463,64,200,1e-04,3,16,0
