"model_id","datetime","variable","horizon","prediction","param_set","epochs","dropout","num_layers","hidden_feature_size","weight_decay"
"LSTM",2018-10-07,"chlorophyll-a",0,4.56658458709717,69,100,0.002,3,16,0
"LSTM",2018-10-08,"chlorophyll-a",0,4.58779525756836,69,100,0.002,3,16,0
"LSTM",2018-10-09,"chlorophyll-a",0,4.59061861038208,69,100,0.002,3,16,0
"LSTM",2018-10-10,"chlorophyll-a",0,4.59261465072632,69,100,0.002,3,16,0
"LSTM",2018-10-11,"chlorophyll-a",0,4.48993968963623,69,100,0.002,3,16,0
"LSTM",2018-10-12,"chlorophyll-a",0,4.3939094543457,69,100,0.002,3,16,0
"LSTM",2018-10-13,"chlorophyll-a",0,4.4218373298645,69,100,0.002,3,16,0
"LSTM",2018-10-14,"chlorophyll-a",0,4.49087953567505,69,100,0.002,3,16,0
"LSTM",2018-10-15,"chlorophyll-a",0,4.53883075714111,69,100,0.002,3,16,0
"LSTM",2018-10-16,"chlorophyll-a",0,4.62140703201294,69,100,0.002,3,16,0
"LSTM",2018-10-17,"chlorophyll-a",0,4.6703085899353,69,100,0.002,3,16,0
"LSTM",2018-10-18,"chlorophyll-a",0,4.70663595199585,69,100,0.002,3,16,0
"LSTM",2018-10-19,"chlorophyll-a",0,4.73603200912476,69,100,0.002,3,16,0
"LSTM",2018-10-20,"chlorophyll-a",0,4.76373863220215,69,100,0.002,3,16,0
"LSTM",2018-10-21,"chlorophyll-a",0,4.79241371154785,69,100,0.002,3,16,0
"LSTM",2018-10-22,"chlorophyll-a",0,4.87711095809937,69,100,0.002,3,16,0
"LSTM",2018-10-23,"chlorophyll-a",0,4.82701921463013,69,100,0.002,3,16,0
"LSTM",2018-10-24,"chlorophyll-a",0,4.85891532897949,69,100,0.002,3,16,0
"LSTM",2018-10-25,"chlorophyll-a",0,4.86267948150635,69,100,0.002,3,16,0
"LSTM",2018-10-26,"chlorophyll-a",0,4.86840581893921,69,100,0.002,3,16,0
"LSTM",2018-10-27,"chlorophyll-a",0,4.87702608108521,69,100,0.002,3,16,0
"LSTM",2018-10-28,"chlorophyll-a",0,4.88138198852539,69,100,0.002,3,16,0
"LSTM",2018-10-29,"chlorophyll-a",0,4.89734935760498,69,100,0.002,3,16,0
"LSTM",2018-10-30,"chlorophyll-a",0,4.86840629577637,69,100,0.002,3,16,0
"LSTM",2018-10-31,"chlorophyll-a",0,4.90007352828979,69,100,0.002,3,16,0
"LSTM",2018-11-01,"chlorophyll-a",0,4.85086631774902,69,100,0.002,3,16,0
"LSTM",2018-11-02,"chlorophyll-a",0,4.90186786651611,69,100,0.002,3,16,0
"LSTM",2018-11-03,"chlorophyll-a",0,4.78416109085083,69,100,0.002,3,16,0
"LSTM",2018-11-04,"chlorophyll-a",0,4.79089450836182,69,100,0.002,3,16,0
"LSTM",2018-11-05,"chlorophyll-a",0,4.78302383422852,69,100,0.002,3,16,0
"LSTM",2018-11-06,"chlorophyll-a",0,4.75830507278442,69,100,0.002,3,16,0
"LSTM",2018-11-07,"chlorophyll-a",0,4.90932083129883,69,100,0.002,3,16,0
"LSTM",2018-11-08,"chlorophyll-a",0,4.7308464050293,69,100,0.002,3,16,0
"LSTM",2018-11-09,"chlorophyll-a",0,4.69532251358032,69,100,0.002,3,16,0
"LSTM",2018-11-10,"chlorophyll-a",0,4.69780492782593,69,100,0.002,3,16,0
"LSTM",2018-11-11,"chlorophyll-a",0,4.65863513946533,69,100,0.002,3,16,0
"LSTM",2018-11-12,"chlorophyll-a",0,4.67404651641846,69,100,0.002,3,16,0
"LSTM",2018-11-13,"chlorophyll-a",0,4.66623544692993,69,100,0.002,3,16,0
"LSTM",2018-11-14,"chlorophyll-a",0,4.69563055038452,69,100,0.002,3,16,0
"LSTM",2018-11-15,"chlorophyll-a",0,4.75547313690186,69,100,0.002,3,16,0
"LSTM",2018-11-16,"chlorophyll-a",0,4.81011390686035,69,100,0.002,3,16,0
"LSTM",2018-11-17,"chlorophyll-a",0,4.89785003662109,69,100,0.002,3,16,0
"LSTM",2018-11-18,"chlorophyll-a",0,5.00650358200073,69,100,0.002,3,16,0
"LSTM",2018-11-19,"chlorophyll-a",0,5.2320408821106,69,100,0.002,3,16,0
"LSTM",2018-11-20,"chlorophyll-a",0,5.2927360534668,69,100,0.002,3,16,0
"LSTM",2018-11-21,"chlorophyll-a",0,5.36824703216553,69,100,0.002,3,16,0
