"model_id","datetime","variable","horizon","prediction","param_set","epochs","dropout","num_layers","hidden_feature_size","weight_decay"
"LSTM",2018-10-07,"chlorophyll-a",0,4.80555868148804,212,200,0.001,3,16,5e-04
"LSTM",2018-10-08,"chlorophyll-a",0,4.88921308517456,212,200,0.001,3,16,5e-04
"LSTM",2018-10-09,"chlorophyll-a",0,4.78434705734253,212,200,0.001,3,16,5e-04
"LSTM",2018-10-10,"chlorophyll-a",0,4.74451112747192,212,200,0.001,3,16,5e-04
"LSTM",2018-10-11,"chlorophyll-a",0,4.68552827835083,212,200,0.001,3,16,5e-04
"LSTM",2018-10-12,"chlorophyll-a",0,4.62413215637207,212,200,0.001,3,16,5e-04
"LSTM",2018-10-13,"chlorophyll-a",0,4.68571758270264,212,200,0.001,3,16,5e-04
"LSTM",2018-10-14,"chlorophyll-a",0,4.69932222366333,212,200,0.001,3,16,5e-04
"LSTM",2018-10-15,"chlorophyll-a",0,4.74927949905396,212,200,0.001,3,16,5e-04
"LSTM",2018-10-16,"chlorophyll-a",0,4.81689453125,212,200,0.001,3,16,5e-04
"LSTM",2018-10-17,"chlorophyll-a",0,4.89269590377808,212,200,0.001,3,16,5e-04
"LSTM",2018-10-18,"chlorophyll-a",0,4.96160936355591,212,200,0.001,3,16,5e-04
"LSTM",2018-10-19,"chlorophyll-a",0,5.02730703353882,212,200,0.001,3,16,5e-04
"LSTM",2018-10-20,"chlorophyll-a",0,5.08482217788696,212,200,0.001,3,16,5e-04
"LSTM",2018-10-21,"chlorophyll-a",0,5.13080024719238,212,200,0.001,3,16,5e-04
"LSTM",2018-10-22,"chlorophyll-a",0,5.17078685760498,212,200,0.001,3,16,5e-04
"LSTM",2018-10-23,"chlorophyll-a",0,5.36703491210938,212,200,0.001,3,16,5e-04
"LSTM",2018-10-24,"chlorophyll-a",0,5.21635150909424,212,200,0.001,3,16,5e-04
"LSTM",2018-10-25,"chlorophyll-a",0,5.20925331115723,212,200,0.001,3,16,5e-04
