"model_id","datetime","variable","horizon","prediction","param_set","epochs","dropout","num_layers","hidden_feature_size","weight_decay"
"LSTM",2018-10-07,"chlorophyll-a",0,5.21685314178467,32,200,0.001,3,8,0
"LSTM",2018-10-08,"chlorophyll-a",0,5.34051036834717,32,200,0.001,3,8,0
"LSTM",2018-10-09,"chlorophyll-a",0,5.34838962554932,32,200,0.001,3,8,0
"LSTM",2018-10-10,"chlorophyll-a",0,5.1389799118042,32,200,0.001,3,8,0
"LSTM",2018-10-11,"chlorophyll-a",0,5.0148138999939,32,200,0.001,3,8,0
"LSTM",2018-10-12,"chlorophyll-a",0,4.90232086181641,32,200,0.001,3,8,0
"LSTM",2018-10-13,"chlorophyll-a",0,4.80255603790283,32,200,0.001,3,8,0
"LSTM",2018-10-14,"chlorophyll-a",0,4.67182636260986,32,200,0.001,3,8,0
"LSTM",2018-10-15,"chlorophyll-a",0,4.5065484046936,32,200,0.001,3,8,0
"LSTM",2018-10-16,"chlorophyll-a",0,4.40379047393799,32,200,0.001,3,8,0
"LSTM",2018-10-17,"chlorophyll-a",0,4.33764171600342,32,200,0.001,3,8,0
"LSTM",2018-10-18,"chlorophyll-a",0,4.28336572647095,32,200,0.001,3,8,0
"LSTM",2018-10-19,"chlorophyll-a",0,4.26497507095337,32,200,0.001,3,8,0
"LSTM",2018-10-20,"chlorophyll-a",0,4.23337459564209,32,200,0.001,3,8,0
"LSTM",2018-10-21,"chlorophyll-a",0,4.20613288879395,32,200,0.001,3,8,0
"LSTM",2018-10-22,"chlorophyll-a",0,4.22234582901001,32,200,0.001,3,8,0
"LSTM",2018-10-23,"chlorophyll-a",0,4.18897485733032,32,200,0.001,3,8,0
"LSTM",2018-10-24,"chlorophyll-a",0,4.23620319366455,32,200,0.001,3,8,0
"LSTM",2018-10-25,"chlorophyll-a",0,4.25877380371094,32,200,0.001,3,8,0
"LSTM",2018-10-26,"chlorophyll-a",0,4.23737955093384,32,200,0.001,3,8,0
"LSTM",2018-10-27,"chlorophyll-a",0,4.1940655708313,32,200,0.001,3,8,0
"LSTM",2018-10-28,"chlorophyll-a",0,4.23358345031738,32,200,0.001,3,8,0
"LSTM",2018-10-29,"chlorophyll-a",0,4.26141166687012,32,200,0.001,3,8,0
"LSTM",2018-10-30,"chlorophyll-a",0,4.30965662002563,32,200,0.001,3,8,0
"LSTM",2018-10-31,"chlorophyll-a",0,4.3496036529541,32,200,0.001,3,8,0
"LSTM",2018-11-01,"chlorophyll-a",0,4.47630310058594,32,200,0.001,3,8,0
"LSTM",2018-11-02,"chlorophyll-a",0,4.40183782577515,32,200,0.001,3,8,0
"LSTM",2018-11-03,"chlorophyll-a",0,4.39213943481445,32,200,0.001,3,8,0
"LSTM",2018-11-04,"chlorophyll-a",0,4.38432455062866,32,200,0.001,3,8,0
"LSTM",2018-11-05,"chlorophyll-a",0,4.33716249465942,32,200,0.001,3,8,0
"LSTM",2018-11-06,"chlorophyll-a",0,4.29701805114746,32,200,0.001,3,8,0
"LSTM",2018-11-07,"chlorophyll-a",0,4.33551025390625,32,200,0.001,3,8,0
"LSTM",2018-11-08,"chlorophyll-a",0,4.35884523391724,32,200,0.001,3,8,0
"LSTM",2018-11-09,"chlorophyll-a",0,4.3864164352417,32,200,0.001,3,8,0
"LSTM",2018-11-10,"chlorophyll-a",0,4.3652400970459,32,200,0.001,3,8,0
"LSTM",2018-11-11,"chlorophyll-a",0,4.38830327987671,32,200,0.001,3,8,0
"LSTM",2018-11-12,"chlorophyll-a",0,4.37413740158081,32,200,0.001,3,8,0
"LSTM",2018-11-13,"chlorophyll-a",0,4.37256526947021,32,200,0.001,3,8,0
"LSTM",2018-11-14,"chlorophyll-a",0,4.45681953430176,32,200,0.001,3,8,0
"LSTM",2018-11-15,"chlorophyll-a",0,4.53411483764648,32,200,0.001,3,8,0
"LSTM",2018-11-16,"chlorophyll-a",0,4.69243335723877,32,200,0.001,3,8,0
"LSTM",2018-11-17,"chlorophyll-a",0,4.98856019973755,32,200,0.001,3,8,0
"LSTM",2018-11-18,"chlorophyll-a",0,5.31406545639038,32,200,0.001,3,8,0
"LSTM",2018-11-19,"chlorophyll-a",0,5.68888854980469,32,200,0.001,3,8,0
"LSTM",2018-11-20,"chlorophyll-a",0,5.9981575012207,32,200,0.001,3,8,0
"LSTM",2018-11-21,"chlorophyll-a",0,6.29876613616943,32,200,0.001,3,8,0
"LSTM",2018-11-22,"chlorophyll-a",0,6.5286226272583,32,200,0.001,3,8,0
"LSTM",2018-11-23,"chlorophyll-a",0,6.63663005828857,32,200,0.001,3,8,0
"LSTM",2018-11-24,"chlorophyll-a",0,6.7531566619873,32,200,0.001,3,8,0
"LSTM",2018-11-25,"chlorophyll-a",0,6.93218994140625,32,200,0.001,3,8,0
"LSTM",2018-11-26,"chlorophyll-a",0,7.09404802322388,32,200,0.001,3,8,0
"LSTM",2018-11-27,"chlorophyll-a",0,7.16015529632568,32,200,0.001,3,8,0
"LSTM",2018-11-28,"chlorophyll-a",0,7.18314170837402,32,200,0.001,3,8,0
"LSTM",2018-11-29,"chlorophyll-a",0,7.12946701049805,32,200,0.001,3,8,0
"LSTM",2018-11-30,"chlorophyll-a",0,7.1357536315918,32,200,0.001,3,8,0
"LSTM",2018-12-01,"chlorophyll-a",0,7.16275644302368,32,200,0.001,3,8,0
"LSTM",2018-12-02,"chlorophyll-a",0,7.1873779296875,32,200,0.001,3,8,0
"LSTM",2018-12-03,"chlorophyll-a",0,7.40199136734009,32,200,0.001,3,8,0
"LSTM",2018-12-04,"chlorophyll-a",0,7.56549263000488,32,200,0.001,3,8,0
"LSTM",2018-12-05,"chlorophyll-a",0,7.65316867828369,32,200,0.001,3,8,0
"LSTM",2018-12-06,"chlorophyll-a",0,7.80680274963379,32,200,0.001,3,8,0
"LSTM",2018-12-07,"chlorophyll-a",0,7.97730255126953,32,200,0.001,3,8,0
"LSTM",2018-12-08,"chlorophyll-a",0,8.1121654510498,32,200,0.001,3,8,0
"LSTM",2018-12-09,"chlorophyll-a",0,8.31646728515625,32,200,0.001,3,8,0
