"model_id","datetime","variable","horizon","prediction","param_set","epochs","dropout","num_layers","hidden_feature_size","weight_decay"
"LSTM",2018-10-07,"chlorophyll-a",0,4.83138132095337,167,100,0.01,2,8,5e-04
"LSTM",2018-10-08,"chlorophyll-a",0,4.85836362838745,167,100,0.01,2,8,5e-04
"LSTM",2018-10-09,"chlorophyll-a",0,4.84424352645874,167,100,0.01,2,8,5e-04
"LSTM",2018-10-10,"chlorophyll-a",0,4.81528234481812,167,100,0.01,2,8,5e-04
"LSTM",2018-10-11,"chlorophyll-a",0,4.76725006103516,167,100,0.01,2,8,5e-04
"LSTM",2018-10-12,"chlorophyll-a",0,4.75939321517944,167,100,0.01,2,8,5e-04
"LSTM",2018-10-13,"chlorophyll-a",0,4.82438087463379,167,100,0.01,2,8,5e-04
"LSTM",2018-10-14,"chlorophyll-a",0,4.85671806335449,167,100,0.01,2,8,5e-04
"LSTM",2018-10-15,"chlorophyll-a",0,4.89527225494385,167,100,0.01,2,8,5e-04
"LSTM",2018-10-16,"chlorophyll-a",0,4.92976331710815,167,100,0.01,2,8,5e-04
"LSTM",2018-10-17,"chlorophyll-a",0,4.88734579086304,167,100,0.01,2,8,5e-04
"LSTM",2018-10-18,"chlorophyll-a",0,4.93669033050537,167,100,0.01,2,8,5e-04
"LSTM",2018-10-19,"chlorophyll-a",0,4.92276334762573,167,100,0.01,2,8,5e-04
"LSTM",2018-10-20,"chlorophyll-a",0,4.95509815216064,167,100,0.01,2,8,5e-04
"LSTM",2018-10-21,"chlorophyll-a",0,4.92072629928589,167,100,0.01,2,8,5e-04
"LSTM",2018-10-22,"chlorophyll-a",0,4.94769763946533,167,100,0.01,2,8,5e-04
"LSTM",2018-10-23,"chlorophyll-a",0,5.01923751831055,167,100,0.01,2,8,5e-04
"LSTM",2018-10-24,"chlorophyll-a",0,5.0891375541687,167,100,0.01,2,8,5e-04
"LSTM",2018-10-25,"chlorophyll-a",0,5.17805814743042,167,100,0.01,2,8,5e-04
"LSTM",2018-10-26,"chlorophyll-a",0,5.28886747360229,167,100,0.01,2,8,5e-04
"LSTM",2018-10-27,"chlorophyll-a",0,5.35771751403809,167,100,0.01,2,8,5e-04
"LSTM",2018-10-28,"chlorophyll-a",0,5.37985038757324,167,100,0.01,2,8,5e-04
