"model_id","datetime","variable","horizon","prediction","param_set","epochs","dropout","num_layers","hidden_feature_size","weight_decay"
"LSTM",2018-10-07,"chlorophyll-a",0,3.95596075057983,356,200,0.001,3,16,0.002
"LSTM",2018-10-08,"chlorophyll-a",0,3.94565057754517,356,200,0.001,3,16,0.002
"LSTM",2018-10-09,"chlorophyll-a",0,3.88578462600708,356,200,0.001,3,16,0.002
"LSTM",2018-10-10,"chlorophyll-a",0,3.83955144882202,356,200,0.001,3,16,0.002
"LSTM",2018-10-11,"chlorophyll-a",0,3.77735900878906,356,200,0.001,3,16,0.002
"LSTM",2018-10-12,"chlorophyll-a",0,3.72430419921875,356,200,0.001,3,16,0.002
"LSTM",2018-10-13,"chlorophyll-a",0,3.74706363677979,356,200,0.001,3,16,0.002
"LSTM",2018-10-14,"chlorophyll-a",0,3.81476354598999,356,200,0.001,3,16,0.002
"LSTM",2018-10-15,"chlorophyll-a",0,3.89656114578247,356,200,0.001,3,16,0.002
"LSTM",2018-10-16,"chlorophyll-a",0,3.97977876663208,356,200,0.001,3,16,0.002
"LSTM",2018-10-17,"chlorophyll-a",0,4.09093904495239,356,200,0.001,3,16,0.002
"LSTM",2018-10-18,"chlorophyll-a",0,4.18969440460205,356,200,0.001,3,16,0.002
"LSTM",2018-10-19,"chlorophyll-a",0,4.29970026016235,356,200,0.001,3,16,0.002
"LSTM",2018-10-20,"chlorophyll-a",0,4.3941912651062,356,200,0.001,3,16,0.002
"LSTM",2018-10-21,"chlorophyll-a",0,4.47160291671753,356,200,0.001,3,16,0.002
"LSTM",2018-10-22,"chlorophyll-a",0,4.54782390594482,356,200,0.001,3,16,0.002
"LSTM",2018-10-23,"chlorophyll-a",0,4.71827173233032,356,200,0.001,3,16,0.002
"LSTM",2018-10-24,"chlorophyll-a",0,4.6551194190979,356,200,0.001,3,16,0.002
"LSTM",2018-10-25,"chlorophyll-a",0,4.69681262969971,356,200,0.001,3,16,0.002
"LSTM",2018-10-26,"chlorophyll-a",0,4.72671222686768,356,200,0.001,3,16,0.002
"LSTM",2018-10-27,"chlorophyll-a",0,4.77614164352417,356,200,0.001,3,16,0.002
"LSTM",2018-10-28,"chlorophyll-a",0,4.78382158279419,356,200,0.001,3,16,0.002
"LSTM",2018-10-29,"chlorophyll-a",0,4.78885412216187,356,200,0.001,3,16,0.002
"LSTM",2018-10-30,"chlorophyll-a",0,4.76963043212891,356,200,0.001,3,16,0.002
"LSTM",2018-10-31,"chlorophyll-a",0,4.75204277038574,356,200,0.001,3,16,0.002
"LSTM",2018-11-01,"chlorophyll-a",0,4.72283315658569,356,200,0.001,3,16,0.002
"LSTM",2018-11-02,"chlorophyll-a",0,4.66897630691528,356,200,0.001,3,16,0.002
"LSTM",2018-11-03,"chlorophyll-a",0,4.60001754760742,356,200,0.001,3,16,0.002
"LSTM",2018-11-04,"chlorophyll-a",0,4.53990316390991,356,200,0.001,3,16,0.002
"LSTM",2018-11-05,"chlorophyll-a",0,4.49776840209961,356,200,0.001,3,16,0.002
"LSTM",2018-11-06,"chlorophyll-a",0,4.45271348953247,356,200,0.001,3,16,0.002
"LSTM",2018-11-07,"chlorophyll-a",0,4.41497087478638,356,200,0.001,3,16,0.002
"LSTM",2018-11-08,"chlorophyll-a",0,4.37623262405396,356,200,0.001,3,16,0.002
"LSTM",2018-11-09,"chlorophyll-a",0,4.35407781600952,356,200,0.001,3,16,0.002
"LSTM",2018-11-10,"chlorophyll-a",0,4.31107330322266,356,200,0.001,3,16,0.002
"LSTM",2018-11-11,"chlorophyll-a",0,4.2774600982666,356,200,0.001,3,16,0.002
"LSTM",2018-11-12,"chlorophyll-a",0,4.27934169769287,356,200,0.001,3,16,0.002
"LSTM",2018-11-13,"chlorophyll-a",0,4.29544019699097,356,200,0.001,3,16,0.002
"LSTM",2018-11-14,"chlorophyll-a",0,4.325035572052,356,200,0.001,3,16,0.002
"LSTM",2018-11-15,"chlorophyll-a",0,4.39105367660522,356,200,0.001,3,16,0.002
"LSTM",2018-11-16,"chlorophyll-a",0,4.47898197174072,356,200,0.001,3,16,0.002
"LSTM",2018-11-17,"chlorophyll-a",0,4.61048936843872,356,200,0.001,3,16,0.002
"LSTM",2018-11-18,"chlorophyll-a",0,4.73606634140015,356,200,0.001,3,16,0.002
"LSTM",2018-11-19,"chlorophyll-a",0,4.88759326934814,356,200,0.001,3,16,0.002
"LSTM",2018-11-20,"chlorophyll-a",0,5.06700849533081,356,200,0.001,3,16,0.002
"LSTM",2018-11-21,"chlorophyll-a",0,5.17974615097046,356,200,0.001,3,16,0.002
"LSTM",2018-11-22,"chlorophyll-a",0,5.30953884124756,356,200,0.001,3,16,0.002
"LSTM",2018-11-23,"chlorophyll-a",0,5.45847415924072,356,200,0.001,3,16,0.002
"LSTM",2018-11-24,"chlorophyll-a",0,5.57762241363525,356,200,0.001,3,16,0.002
