"model_id","datetime","variable","horizon","prediction","param_set","epochs","dropout","num_layers","hidden_feature_size","weight_decay"
"LSTM",2018-10-07,"chlorophyll-a",0,5.03009939193726,34,200,0.002,3,8,0
"LSTM",2018-10-08,"chlorophyll-a",0,5.13033199310303,34,200,0.002,3,8,0
"LSTM",2018-10-09,"chlorophyll-a",0,5.14709806442261,34,200,0.002,3,8,0
"LSTM",2018-10-10,"chlorophyll-a",0,5.0129017829895,34,200,0.002,3,8,0
"LSTM",2018-10-11,"chlorophyll-a",0,4.87647867202759,34,200,0.002,3,8,0
"LSTM",2018-10-12,"chlorophyll-a",0,4.80296945571899,34,200,0.002,3,8,0
"LSTM",2018-10-13,"chlorophyll-a",0,4.73465251922607,34,200,0.002,3,8,0
"LSTM",2018-10-14,"chlorophyll-a",0,4.5927267074585,34,200,0.002,3,8,0
"LSTM",2018-10-15,"chlorophyll-a",0,4.4234037399292,34,200,0.002,3,8,0
"LSTM",2018-10-16,"chlorophyll-a",0,4.31187677383423,34,200,0.002,3,8,0
"LSTM",2018-10-17,"chlorophyll-a",0,4.24942779541016,34,200,0.002,3,8,0
"LSTM",2018-10-18,"chlorophyll-a",0,4.19978713989258,34,200,0.002,3,8,0
"LSTM",2018-10-19,"chlorophyll-a",0,4.18887758255005,34,200,0.002,3,8,0
"LSTM",2018-10-20,"chlorophyll-a",0,4.16390180587769,34,200,0.002,3,8,0
"LSTM",2018-10-21,"chlorophyll-a",0,4.1431941986084,34,200,0.002,3,8,0
"LSTM",2018-10-22,"chlorophyll-a",0,4.16370391845703,34,200,0.002,3,8,0
"LSTM",2018-10-23,"chlorophyll-a",0,4.13172101974487,34,200,0.002,3,8,0
"LSTM",2018-10-24,"chlorophyll-a",0,4.18625688552856,34,200,0.002,3,8,0
"LSTM",2018-10-25,"chlorophyll-a",0,4.20650291442871,34,200,0.002,3,8,0
"LSTM",2018-10-26,"chlorophyll-a",0,4.17651081085205,34,200,0.002,3,8,0
"LSTM",2018-10-27,"chlorophyll-a",0,4.11909961700439,34,200,0.002,3,8,0
"LSTM",2018-10-28,"chlorophyll-a",0,4.14491319656372,34,200,0.002,3,8,0
"LSTM",2018-10-29,"chlorophyll-a",0,4.15539360046387,34,200,0.002,3,8,0
"LSTM",2018-10-30,"chlorophyll-a",0,4.19035911560059,34,200,0.002,3,8,0
"LSTM",2018-10-31,"chlorophyll-a",0,4.21683597564697,34,200,0.002,3,8,0
"LSTM",2018-11-01,"chlorophyll-a",0,4.35291624069214,34,200,0.002,3,8,0
"LSTM",2018-11-02,"chlorophyll-a",0,4.26025485992432,34,200,0.002,3,8,0
"LSTM",2018-11-03,"chlorophyll-a",0,4.25550842285156,34,200,0.002,3,8,0
"LSTM",2018-11-04,"chlorophyll-a",0,4.30992937088013,34,200,0.002,3,8,0
"LSTM",2018-11-05,"chlorophyll-a",0,4.1998233795166,34,200,0.002,3,8,0
"LSTM",2018-11-06,"chlorophyll-a",0,4.16210079193115,34,200,0.002,3,8,0
"LSTM",2018-11-07,"chlorophyll-a",0,4.2056941986084,34,200,0.002,3,8,0
"LSTM",2018-11-08,"chlorophyll-a",0,4.1328239440918,34,200,0.002,3,8,0
"LSTM",2018-11-09,"chlorophyll-a",0,4.25312852859497,34,200,0.002,3,8,0
"LSTM",2018-11-10,"chlorophyll-a",0,4.22413873672485,34,200,0.002,3,8,0
"LSTM",2018-11-11,"chlorophyll-a",0,4.23607873916626,34,200,0.002,3,8,0
"LSTM",2018-11-12,"chlorophyll-a",0,4.21120023727417,34,200,0.002,3,8,0
"LSTM",2018-11-13,"chlorophyll-a",0,4.17866706848145,34,200,0.002,3,8,0
"LSTM",2018-11-14,"chlorophyll-a",0,4.28966379165649,34,200,0.002,3,8,0
"LSTM",2018-11-15,"chlorophyll-a",0,4.35724020004272,34,200,0.002,3,8,0
"LSTM",2018-11-16,"chlorophyll-a",0,4.49902772903442,34,200,0.002,3,8,0
"LSTM",2018-11-17,"chlorophyll-a",0,4.75695562362671,34,200,0.002,3,8,0
"LSTM",2018-11-18,"chlorophyll-a",0,5.14836597442627,34,200,0.002,3,8,0
"LSTM",2018-11-19,"chlorophyll-a",0,5.1660270690918,34,200,0.002,3,8,0
"LSTM",2018-11-20,"chlorophyll-a",0,5.68260192871094,34,200,0.002,3,8,0
"LSTM",2018-11-21,"chlorophyll-a",0,5.97561597824097,34,200,0.002,3,8,0
"LSTM",2018-11-22,"chlorophyll-a",0,6.22555828094482,34,200,0.002,3,8,0
"LSTM",2018-11-23,"chlorophyll-a",0,6.36032199859619,34,200,0.002,3,8,0
"LSTM",2018-11-24,"chlorophyll-a",0,6.51685667037964,34,200,0.002,3,8,0
