"model_id","datetime","variable","horizon","prediction","param_set","epochs","dropout","num_layers","hidden_feature_size","weight_decay"
"LSTM",2018-10-07,"chlorophyll-a",0,4.11648941040039,419,100,0.01,2,16,0.01
"LSTM",2018-10-08,"chlorophyll-a",0,4.16965627670288,419,100,0.01,2,16,0.01
"LSTM",2018-10-09,"chlorophyll-a",0,4.17336750030518,419,100,0.01,2,16,0.01
"LSTM",2018-10-10,"chlorophyll-a",0,4.13594579696655,419,100,0.01,2,16,0.01
"LSTM",2018-10-11,"chlorophyll-a",0,4.14416980743408,419,100,0.01,2,16,0.01
"LSTM",2018-10-12,"chlorophyll-a",0,3.91687488555908,419,100,0.01,2,16,0.01
"LSTM",2018-10-13,"chlorophyll-a",0,3.88258409500122,419,100,0.01,2,16,0.01
"LSTM",2018-10-14,"chlorophyll-a",0,3.85878276824951,419,100,0.01,2,16,0.01
"LSTM",2018-10-15,"chlorophyll-a",0,3.92561817169189,419,100,0.01,2,16,0.01
"LSTM",2018-10-16,"chlorophyll-a",0,3.89836168289185,419,100,0.01,2,16,0.01
"LSTM",2018-10-17,"chlorophyll-a",0,3.91786432266235,419,100,0.01,2,16,0.01
"LSTM",2018-10-18,"chlorophyll-a",0,3.98897647857666,419,100,0.01,2,16,0.01
"LSTM",2018-10-19,"chlorophyll-a",0,4.04898500442505,419,100,0.01,2,16,0.01
"LSTM",2018-10-20,"chlorophyll-a",0,4.11248397827148,419,100,0.01,2,16,0.01
"LSTM",2018-10-21,"chlorophyll-a",0,4.18979024887085,419,100,0.01,2,16,0.01
"LSTM",2018-10-22,"chlorophyll-a",0,4.21704006195068,419,100,0.01,2,16,0.01
"LSTM",2018-10-23,"chlorophyll-a",0,4.50237321853638,419,100,0.01,2,16,0.01
"LSTM",2018-10-24,"chlorophyll-a",0,4.54024505615234,419,100,0.01,2,16,0.01
"LSTM",2018-10-25,"chlorophyll-a",0,4.6887035369873,419,100,0.01,2,16,0.01
"LSTM",2018-10-26,"chlorophyll-a",0,4.80926752090454,419,100,0.01,2,16,0.01
"LSTM",2018-10-27,"chlorophyll-a",0,4.81517553329468,419,100,0.01,2,16,0.01
"LSTM",2018-10-28,"chlorophyll-a",0,5.00257778167725,419,100,0.01,2,16,0.01
"LSTM",2018-10-29,"chlorophyll-a",0,4.92821073532104,419,100,0.01,2,16,0.01
