"model_id","datetime","variable","horizon","prediction","param_set","epochs","dropout","num_layers","hidden_feature_size","weight_decay"
"LSTM",2018-10-07,"chlorophyll-a",0,4.78256797790527,14,200,0,2,8,0
"LSTM",2018-10-08,"chlorophyll-a",0,4.91097021102905,14,200,0,2,8,0
"LSTM",2018-10-09,"chlorophyll-a",0,4.92908477783203,14,200,0,2,8,0
"LSTM",2018-10-10,"chlorophyll-a",0,4.84784173965454,14,200,0,2,8,0
"LSTM",2018-10-11,"chlorophyll-a",0,4.68230199813843,14,200,0,2,8,0
"LSTM",2018-10-12,"chlorophyll-a",0,4.65528440475464,14,200,0,2,8,0
"LSTM",2018-10-13,"chlorophyll-a",0,4.91179847717285,14,200,0,2,8,0
"LSTM",2018-10-14,"chlorophyll-a",0,4.906165599823,14,200,0,2,8,0
"LSTM",2018-10-15,"chlorophyll-a",0,4.84930419921875,14,200,0,2,8,0
"LSTM",2018-10-16,"chlorophyll-a",0,5.06453514099121,14,200,0,2,8,0
"LSTM",2018-10-17,"chlorophyll-a",0,5.02050256729126,14,200,0,2,8,0
"LSTM",2018-10-18,"chlorophyll-a",0,5.17045259475708,14,200,0,2,8,0
"LSTM",2018-10-19,"chlorophyll-a",0,5.13809823989868,14,200,0,2,8,0
"LSTM",2018-10-20,"chlorophyll-a",0,5.14682006835938,14,200,0,2,8,0
"LSTM",2018-10-21,"chlorophyll-a",0,5.06971406936646,14,200,0,2,8,0
"LSTM",2018-10-22,"chlorophyll-a",0,5.0583438873291,14,200,0,2,8,0
"LSTM",2018-10-23,"chlorophyll-a",0,5.10533714294434,14,200,0,2,8,0
"LSTM",2018-10-24,"chlorophyll-a",0,5.18447828292847,14,200,0,2,8,0
"LSTM",2018-10-25,"chlorophyll-a",0,5.25577688217163,14,200,0,2,8,0
"LSTM",2018-10-26,"chlorophyll-a",0,5.30781173706055,14,200,0,2,8,0
"LSTM",2018-10-27,"chlorophyll-a",0,5.3049898147583,14,200,0,2,8,0
"LSTM",2018-10-28,"chlorophyll-a",0,5.36052322387695,14,200,0,2,8,0
"LSTM",2018-10-29,"chlorophyll-a",0,5.45635890960693,14,200,0,2,8,0
"LSTM",2018-10-30,"chlorophyll-a",0,5.56799125671387,14,200,0,2,8,0
"LSTM",2018-10-31,"chlorophyll-a",0,5.77713489532471,14,200,0,2,8,0
"LSTM",2018-11-01,"chlorophyll-a",0,5.88784313201904,14,200,0,2,8,0
"LSTM",2018-11-02,"chlorophyll-a",0,5.75238800048828,14,200,0,2,8,0
"LSTM",2018-11-03,"chlorophyll-a",0,5.58456707000732,14,200,0,2,8,0
"LSTM",2018-11-04,"chlorophyll-a",0,5.60906171798706,14,200,0,2,8,0
"LSTM",2018-11-05,"chlorophyll-a",0,5.65629959106445,14,200,0,2,8,0
"LSTM",2018-11-06,"chlorophyll-a",0,5.62154054641724,14,200,0,2,8,0
"LSTM",2018-11-07,"chlorophyll-a",0,5.57312965393066,14,200,0,2,8,0
"LSTM",2018-11-08,"chlorophyll-a",0,5.55841302871704,14,200,0,2,8,0
"LSTM",2018-11-09,"chlorophyll-a",0,5.46641159057617,14,200,0,2,8,0
"LSTM",2018-11-10,"chlorophyll-a",0,5.39568519592285,14,200,0,2,8,0
"LSTM",2018-11-11,"chlorophyll-a",0,5.34744834899902,14,200,0,2,8,0
"LSTM",2018-11-12,"chlorophyll-a",0,5.39459419250488,14,200,0,2,8,0
"LSTM",2018-11-13,"chlorophyll-a",0,5.43797779083252,14,200,0,2,8,0
"LSTM",2018-11-14,"chlorophyll-a",0,5.40154886245728,14,200,0,2,8,0
"LSTM",2018-11-15,"chlorophyll-a",0,5.47169780731201,14,200,0,2,8,0
"LSTM",2018-11-16,"chlorophyll-a",0,5.60288906097412,14,200,0,2,8,0
"LSTM",2018-11-17,"chlorophyll-a",0,5.76795864105225,14,200,0,2,8,0
"LSTM",2018-11-18,"chlorophyll-a",0,5.88019847869873,14,200,0,2,8,0
"LSTM",2018-11-19,"chlorophyll-a",0,5.9913330078125,14,200,0,2,8,0
"LSTM",2018-11-20,"chlorophyll-a",0,5.96591997146606,14,200,0,2,8,0
"LSTM",2018-11-21,"chlorophyll-a",0,5.92253589630127,14,200,0,2,8,0
