"model_id","datetime","variable","horizon","prediction","param_set","epochs","dropout","num_layers","hidden_feature_size","weight_decay"
"LSTM",2018-10-07,"chlorophyll-a",0,4.14508628845215,113,100,5e-04,1,16,1e-04
"LSTM",2018-10-08,"chlorophyll-a",0,4.01117420196533,113,100,5e-04,1,16,1e-04
"LSTM",2018-10-09,"chlorophyll-a",0,4.00092363357544,113,100,5e-04,1,16,1e-04
"LSTM",2018-10-10,"chlorophyll-a",0,3.94695663452148,113,100,5e-04,1,16,1e-04
"LSTM",2018-10-11,"chlorophyll-a",0,3.92763900756836,113,100,5e-04,1,16,1e-04
"LSTM",2018-10-12,"chlorophyll-a",0,4.29758453369141,113,100,5e-04,1,16,1e-04
"LSTM",2018-10-13,"chlorophyll-a",0,5.96849393844604,113,100,5e-04,1,16,1e-04
"LSTM",2018-10-14,"chlorophyll-a",0,6.08789730072021,113,100,5e-04,1,16,1e-04
"LSTM",2018-10-15,"chlorophyll-a",0,5.23036289215088,113,100,5e-04,1,16,1e-04
"LSTM",2018-10-16,"chlorophyll-a",0,4.60509395599365,113,100,5e-04,1,16,1e-04
"LSTM",2018-10-17,"chlorophyll-a",0,4.98764038085938,113,100,5e-04,1,16,1e-04
"LSTM",2018-10-18,"chlorophyll-a",0,5.00382518768311,113,100,5e-04,1,16,1e-04
"LSTM",2018-10-19,"chlorophyll-a",0,5.62661838531494,113,100,5e-04,1,16,1e-04
"LSTM",2018-10-20,"chlorophyll-a",0,5.52440166473389,113,100,5e-04,1,16,1e-04
"LSTM",2018-10-21,"chlorophyll-a",0,5.24082040786743,113,100,5e-04,1,16,1e-04
"LSTM",2018-10-22,"chlorophyll-a",0,5.726966381073,113,100,5e-04,1,16,1e-04
"LSTM",2018-10-23,"chlorophyll-a",0,5.51314687728882,113,100,5e-04,1,16,1e-04
"LSTM",2018-10-24,"chlorophyll-a",0,5.81411361694336,113,100,5e-04,1,16,1e-04
"LSTM",2018-10-25,"chlorophyll-a",0,5.83043575286865,113,100,5e-04,1,16,1e-04
"LSTM",2018-10-26,"chlorophyll-a",0,5.48556137084961,113,100,5e-04,1,16,1e-04
"LSTM",2018-10-27,"chlorophyll-a",0,4.83498764038086,113,100,5e-04,1,16,1e-04
"LSTM",2018-10-28,"chlorophyll-a",0,4.91545438766479,113,100,5e-04,1,16,1e-04
"LSTM",2018-10-29,"chlorophyll-a",0,4.71293878555298,113,100,5e-04,1,16,1e-04
"LSTM",2018-10-30,"chlorophyll-a",0,4.96126127243042,113,100,5e-04,1,16,1e-04
"LSTM",2018-10-31,"chlorophyll-a",0,4.88585042953491,113,100,5e-04,1,16,1e-04
"LSTM",2018-11-01,"chlorophyll-a",0,4.66801929473877,113,100,5e-04,1,16,1e-04
"LSTM",2018-11-02,"chlorophyll-a",0,4.68368148803711,113,100,5e-04,1,16,1e-04
"LSTM",2018-11-03,"chlorophyll-a",0,4.94538259506226,113,100,5e-04,1,16,1e-04
"LSTM",2018-11-04,"chlorophyll-a",0,5.45581912994385,113,100,5e-04,1,16,1e-04
"LSTM",2018-11-05,"chlorophyll-a",0,5.16166210174561,113,100,5e-04,1,16,1e-04
"LSTM",2018-11-06,"chlorophyll-a",0,4.7015266418457,113,100,5e-04,1,16,1e-04
"LSTM",2018-11-07,"chlorophyll-a",0,4.7404088973999,113,100,5e-04,1,16,1e-04
"LSTM",2018-11-08,"chlorophyll-a",0,4.99214935302734,113,100,5e-04,1,16,1e-04
"LSTM",2018-11-09,"chlorophyll-a",0,4.9285626411438,113,100,5e-04,1,16,1e-04
"LSTM",2018-11-10,"chlorophyll-a",0,4.44112348556519,113,100,5e-04,1,16,1e-04
"LSTM",2018-11-11,"chlorophyll-a",0,4.84345674514771,113,100,5e-04,1,16,1e-04
"LSTM",2018-11-12,"chlorophyll-a",0,4.70055961608887,113,100,5e-04,1,16,1e-04
"LSTM",2018-11-13,"chlorophyll-a",0,4.49154615402222,113,100,5e-04,1,16,1e-04
"LSTM",2018-11-14,"chlorophyll-a",0,5.1814112663269,113,100,5e-04,1,16,1e-04
"LSTM",2018-11-15,"chlorophyll-a",0,5.53997898101807,113,100,5e-04,1,16,1e-04
