"project_id","site_id","datetime","duration","depth_m","variable","observation"
"vera4cast","fcre",2018-06-25 15:28:38,"P1D",1.5,"GreenAlgae_ugL_sample",3.42
"vera4cast","fcre",2018-06-25 15:28:38,"P1D",1.5,"Bluegreens_ugL_sample",4.72
"vera4cast","fcre",2018-06-25 15:28:38,"P1D",1.5,"BrownAlgae_ugL_sample",4.21
"vera4cast","fcre",2018-06-25 15:28:38,"P1D",1.5,"MixedAlgae_ugL_sample",0
"vera4cast","fcre",2018-06-28 14:38:31,"P1D",1.5,"GreenAlgae_ugL_sample",4.42
"vera4cast","fcre",2018-06-28 14:38:31,"P1D",1.5,"Bluegreens_ugL_sample",3.16
"vera4cast","fcre",2018-06-28 14:38:31,"P1D",1.5,"BrownAlgae_ugL_sample",5.59
"vera4cast","fcre",2018-06-28 14:38:31,"P1D",1.5,"MixedAlgae_ugL_sample",1.15
"vera4cast","fcre",2018-07-02 15:06:38,"P1D",1.5,"GreenAlgae_ugL_sample",3.43
"vera4cast","fcre",2018-07-02 15:06:38,"P1D",1.5,"Bluegreens_ugL_sample",0
"vera4cast","fcre",2018-07-02 15:06:38,"P1D",1.5,"BrownAlgae_ugL_sample",4.29
"vera4cast","fcre",2018-07-02 15:06:38,"P1D",1.5,"MixedAlgae_ugL_sample",0.61
"vera4cast","fcre",2018-07-05 17:41:50,"P1D",1.5,"GreenAlgae_ugL_sample",4.8
"vera4cast","fcre",2018-07-05 17:41:50,"P1D",1.5,"Bluegreens_ugL_sample",0
"vera4cast","fcre",2018-07-05 17:41:50,"P1D",1.5,"BrownAlgae_ugL_sample",2.98
"vera4cast","fcre",2018-07-05 17:41:50,"P1D",1.5,"MixedAlgae_ugL_sample",2
"vera4cast","fcre",2018-07-09 14:44:08,"P1D",1.5,"GreenAlgae_ugL_sample",5.51
"vera4cast","fcre",2018-07-09 14:44:08,"P1D",1.5,"Bluegreens_ugL_sample",0.27
"vera4cast","fcre",2018-07-09 14:44:08,"P1D",1.5,"BrownAlgae_ugL_sample",3.1
"vera4cast","fcre",2018-07-09 14:44:08,"P1D",1.5,"MixedAlgae_ugL_sample",1.03
"vera4cast","fcre",2018-07-16 14:57:05,"P1D",1.5,"GreenAlgae_ugL_sample",3.24
"vera4cast","fcre",2018-07-16 14:57:05,"P1D",1.5,"Bluegreens_ugL_sample",0.55
"vera4cast","fcre",2018-07-16 14:57:05,"P1D",1.5,"BrownAlgae_ugL_sample",3.87
"vera4cast","fcre",2018-07-16 14:57:05,"P1D",1.5,"MixedAlgae_ugL_sample",0.64
"vera4cast","fcre",2018-07-19 15:10:48,"P1D",1.5,"GreenAlgae_ugL_sample",5.19
"vera4cast","fcre",2018-07-19 15:10:48,"P1D",1.5,"Bluegreens_ugL_sample",2.03
"vera4cast","fcre",2018-07-19 15:10:48,"P1D",1.5,"BrownAlgae_ugL_sample",5.57
"vera4cast","fcre",2018-07-19 15:10:48,"P1D",1.5,"MixedAlgae_ugL_sample",0
"vera4cast","fcre",2018-07-23 14:38:25,"P1D",1.5,"GreenAlgae_ugL_sample",4.37
"vera4cast","fcre",2018-07-23 14:38:25,"P1D",1.5,"Bluegreens_ugL_sample",6.33
"vera4cast","fcre",2018-07-23 14:38:25,"P1D",1.5,"BrownAlgae_ugL_sample",11.49
