".model","alpha","l[0]","beta","b[0]","RMSE","MAE"
"SES",0.9998981989232,3.73309768829274,NA,NA,2.03,1.2
"trend",0.999899928875997,5.40238239852439,0.000100022659662014,0.00109773804117877,2.03,1.2
