"model_id","reference_datetime","datetime","variable","prediction"
"OneDProcessModel",2022-01-01,2022-01-31,"chlorophyll-a",14.1887065808905
"OneDProcessModel",2022-01-01,2022-02-01,"chlorophyll-a",14.3282487869528
"OneDProcessModel",2022-01-01,2022-02-02,"chlorophyll-a",14.3972119595462
"OneDProcessModel",2022-01-01,2022-02-03,"chlorophyll-a",14.4445503098741
"OneDProcessModel",2022-01-01,2022-02-04,"chlorophyll-a",13.2057047214704
"OneDProcessModel",2022-01-01,2022-02-05,"chlorophyll-a",13.2544223963493
"OneDProcessModel",2022-01-02,2022-01-02,"chlorophyll-a",11.1702083263889
"OneDProcessModel",2022-01-02,2022-01-03,"chlorophyll-a",9.77650016650417
"OneDProcessModel",2022-01-02,2022-01-04,"chlorophyll-a",10.8053679840311
"OneDProcessModel",2022-01-02,2022-01-05,"chlorophyll-a",12.527511186372
"OneDProcessModel",2022-01-02,2022-01-06,"chlorophyll-a",12.8940908483252
"OneDProcessModel",2022-01-02,2022-01-07,"chlorophyll-a",12.7472373041311
"OneDProcessModel",2022-01-02,2022-01-08,"chlorophyll-a",14.2873097918182
"OneDProcessModel",2022-01-02,2022-01-09,"chlorophyll-a",15.5612235634035
"OneDProcessModel",2022-01-02,2022-01-10,"chlorophyll-a",13.9776843620334
"OneDProcessModel",2022-01-02,2022-01-11,"chlorophyll-a",15.3787763016214
"OneDProcessModel",2022-01-02,2022-01-12,"chlorophyll-a",16.3732811105542
"OneDProcessModel",2022-01-02,2022-01-13,"chlorophyll-a",13.8480604634297
"OneDProcessModel",2022-01-02,2022-01-14,"chlorophyll-a",15.7115715115541
"OneDProcessModel",2022-01-02,2022-01-15,"chlorophyll-a",17.3717837873599
"OneDProcessModel",2022-01-02,2022-01-16,"chlorophyll-a",14.0756754308999
"OneDProcessModel",2022-01-02,2022-01-17,"chlorophyll-a",13.4061129876085
"OneDProcessModel",2022-01-02,2022-01-18,"chlorophyll-a",14.5956300275279
"OneDProcessModel",2022-01-02,2022-01-19,"chlorophyll-a",15.7100523983215
"OneDProcessModel",2022-01-02,2022-01-20,"chlorophyll-a",15.8715111598659
"OneDProcessModel",2022-01-02,2022-01-21,"chlorophyll-a",14.684588002338
"OneDProcessModel",2022-01-02,2022-01-22,"chlorophyll-a",17.195755461504
"OneDProcessModel",2022-01-02,2022-01-23,"chlorophyll-a",18.1119779806692
"OneDProcessModel",2022-01-02,2022-01-24,"chlorophyll-a",17.7493145341535
"OneDProcessModel",2022-01-02,2022-01-25,"chlorophyll-a",17.0704824235917
"OneDProcessModel",2022-01-02,2022-01-26,"chlorophyll-a",15.1818247522238
"OneDProcessModel",2022-01-02,2022-01-27,"chlorophyll-a",14.7249068388292
"OneDProcessModel",2022-01-02,2022-01-28,"chlorophyll-a",15.6084934464692
"OneDProcessModel",2022-01-02,2022-01-29,"chlorophyll-a",16.0779566579918
"OneDProcessModel",2022-01-02,2022-01-30,"chlorophyll-a",16.4617957760064
"OneDProcessModel",2022-01-02,2022-01-31,"chlorophyll-a",16.4599191983058
"OneDProcessModel",2022-01-02,2022-02-01,"chlorophyll-a",16.6684509762044
"OneDProcessModel",2022-01-02,2022-02-02,"chlorophyll-a",16.7598536426293
"OneDProcessModel",2022-01-02,2022-02-03,"chlorophyll-a",16.8193791465816
"OneDProcessModel",2022-01-02,2022-02-04,"chlorophyll-a",14.8316491912009
"OneDProcessModel",2022-01-02,2022-02-05,"chlorophyll-a",14.8156733224126
"OneDProcessModel",2022-01-02,2022-02-06,"chlorophyll-a",15.4796024892875
"OneDProcessModel",2022-01-03,2022-01-03,"chlorophyll-a",10.5483216643357
"OneDProcessModel",2022-01-03,2022-01-04,"chlorophyll-a",9.24481310963923
"OneDProcessModel",2022-01-03,2022-01-05,"chlorophyll-a",11.0814322652892
"OneDProcessModel",2022-01-03,2022-01-06,"chlorophyll-a",11.870217936314
"OneDProcessModel",2022-01-03,2022-01-07,"chlorophyll-a",12.2077071539378
"OneDProcessModel",2022-01-03,2022-01-08,"chlorophyll-a",14.0401148884872
