"model_id","datetime","variable","prediction"
"DOY",2018-11-24,"chlorophyll-a",11.3146675520473
"DOY",2018-11-25,"chlorophyll-a",11.3163046625844
"DOY",2018-11-26,"chlorophyll-a",11.3106371932088
"DOY",2018-11-27,"chlorophyll-a",11.2978625649993
"DOY",2018-11-28,"chlorophyll-a",11.2781781990347
"DOY",2018-11-29,"chlorophyll-a",11.2517815163935
"DOY",2018-11-30,"chlorophyll-a",11.2188699381546
"DOY",2018-12-01,"chlorophyll-a",11.1796408853967
"DOY",2018-12-02,"chlorophyll-a",11.1342917791984
"DOY",2018-12-03,"chlorophyll-a",11.0830200406386
"DOY",2018-12-04,"chlorophyll-a",11.0260230907959
"DOY",2018-12-05,"chlorophyll-a",10.963498350749
"DOY",2018-12-06,"chlorophyll-a",10.8956432415767
"DOY",2018-12-07,"chlorophyll-a",10.8226551843577
"DOY",2018-12-08,"chlorophyll-a",10.7447316001707
"DOY",2018-12-09,"chlorophyll-a",10.6620699100944
"DOY",2018-12-10,"chlorophyll-a",10.5748675352075
"DOY",2018-12-11,"chlorophyll-a",10.4833218965888
"DOY",2018-12-12,"chlorophyll-a",10.3876304153171
"DOY",2018-12-13,"chlorophyll-a",10.2879905124709
"DOY",2018-12-14,"chlorophyll-a",10.184599609129
"DOY",2018-12-15,"chlorophyll-a",10.0776551263702
"DOY",2018-12-16,"chlorophyll-a",9.96735448527313
"DOY",2018-12-17,"chlorophyll-a",9.85389510691656
"DOY",2018-12-18,"chlorophyll-a",9.73747441237919
"DOY",2018-12-19,"chlorophyll-a",9.61828982273974
"DOY",2018-12-20,"chlorophyll-a",9.49653875907694
"DOY",2018-12-21,"chlorophyll-a",9.3724186424695
"DOY",2018-12-22,"chlorophyll-a",9.24612689399615
"DOY",2018-12-23,"chlorophyll-a",9.11786093473559
"DOY",2018-12-24,"chlorophyll-a",8.98781818576656
"DOY",2018-12-25,"chlorophyll-a",8.85619606816777
"DOY",2018-12-26,"chlorophyll-a",8.72319200301794
"DOY",2018-12-27,"chlorophyll-a",8.58900341139579
"DOY",2018-12-28,"chlorophyll-a",8.45382771438004
"DOY",2018-12-29,"chlorophyll-a",8.31786233304942
"DOY",2018-12-30,"chlorophyll-a",8.18130468848263
"DOY",2018-12-31,"chlorophyll-a",8.0443522017584
"DOY",2019-01-01,"chlorophyll-a",9.25188983425388
"DOY",2019-01-02,"chlorophyll-a",9.35753099571797
"DOY",2019-01-03,"chlorophyll-a",9.4631015407037
"DOY",2019-01-04,"chlorophyll-a",9.56853085273267
"DOY",2019-01-05,"chlorophyll-a",9.67374831532653
"DOY",2019-01-06,"chlorophyll-a",9.7786833120069
"DOY",2019-01-07,"chlorophyll-a",9.8832652262954
"DOY",2019-01-08,"chlorophyll-a",9.98742344171367
"DOY",2019-01-09,"chlorophyll-a",10.0910873417833
"DOY",2019-01-10,"chlorophyll-a",10.194186310026
"DOY",2019-01-11,"chlorophyll-a",10.2966497299633
"DOY",2019-01-12,"chlorophyll-a",10.3984069851169
"DOY",2019-01-13,"chlorophyll-a",10.4993874590084
"DOY",2019-01-14,"chlorophyll-a",10.5995205351595
"DOY",2019-01-15,"chlorophyll-a",10.6987355970916
"DOY",2019-01-16,"chlorophyll-a",10.7969620283266
"DOY",2019-01-17,"chlorophyll-a",10.894129212386
"DOY",2019-01-18,"chlorophyll-a",10.9901665327914
"DOY",2019-01-19,"chlorophyll-a",11.0850033730645
"DOY",2019-01-20,"chlorophyll-a",11.1785691167269
"DOY",2019-01-21,"chlorophyll-a",11.2707931473001
"DOY",2019-01-22,"chlorophyll-a",11.361604848306
"DOY",2019-01-23,"chlorophyll-a",11.450933603266
"DOY",2019-01-24,"chlorophyll-a",11.5387087957018
"DOY",2019-01-25,"chlorophyll-a",11.6248598091351
