"model_id","reference_datetime","datetime","variable","prediction"
"LSTM",2022-01-04,2022-01-14,"chlorophyll-a",11.30495262146
"LSTM",2022-01-04,2022-01-15,"chlorophyll-a",11.620680809021
"LSTM",2022-01-04,2022-01-16,"chlorophyll-a",12.6706781387329
"LSTM",2022-01-04,2022-01-17,"chlorophyll-a",13.8430099487305
"LSTM",2022-01-04,2022-01-18,"chlorophyll-a",13.8043632507324
"LSTM",2022-01-04,2022-01-19,"chlorophyll-a",14.6415195465088
"LSTM",2022-01-04,2022-01-20,"chlorophyll-a",15.7044734954834
"LSTM",2022-01-04,2022-01-21,"chlorophyll-a",15.3664693832397
"LSTM",2022-01-04,2022-01-22,"chlorophyll-a",15.9129066467285
"LSTM",2022-01-04,2022-01-23,"chlorophyll-a",16.2381782531738
"LSTM",2022-01-04,2022-01-24,"chlorophyll-a",16.2158832550049
"LSTM",2022-01-05,2022-01-05,"chlorophyll-a",10.0812587062937
"LSTM",2022-01-05,2022-01-06,"chlorophyll-a",9.77810192108154
"LSTM",2022-01-05,2022-01-07,"chlorophyll-a",9.6726884841919
"LSTM",2022-01-05,2022-01-08,"chlorophyll-a",9.112717628479
"LSTM",2022-01-05,2022-01-09,"chlorophyll-a",8.49164009094238
"LSTM",2022-01-05,2022-01-10,"chlorophyll-a",8.2434139251709
"LSTM",2022-01-05,2022-01-11,"chlorophyll-a",7.98217582702637
"LSTM",2022-01-05,2022-01-12,"chlorophyll-a",8.11418724060059
"LSTM",2022-01-05,2022-01-13,"chlorophyll-a",8.60072040557861
"LSTM",2022-01-05,2022-01-14,"chlorophyll-a",9.3580207824707
"LSTM",2022-01-05,2022-01-15,"chlorophyll-a",10.4437599182129
"LSTM",2022-01-05,2022-01-16,"chlorophyll-a",11.4797515869141
"LSTM",2022-01-05,2022-01-17,"chlorophyll-a",11.7637186050415
"LSTM",2022-01-05,2022-01-18,"chlorophyll-a",12.8421039581299
"LSTM",2022-01-05,2022-01-19,"chlorophyll-a",14.0083618164062
"LSTM",2022-01-05,2022-01-20,"chlorophyll-a",13.9522933959961
"LSTM",2022-01-05,2022-01-21,"chlorophyll-a",14.6778430938721
"LSTM",2022-01-05,2022-01-22,"chlorophyll-a",15.6323280334473
"LSTM",2022-01-05,2022-01-23,"chlorophyll-a",15.3492698669434
"LSTM",2022-01-05,2022-01-24,"chlorophyll-a",15.8072185516357
"LSTM",2022-01-05,2022-01-25,"chlorophyll-a",16.067361831665
"LSTM",2022-01-06,2022-01-06,"chlorophyll-a",10.7990277986111
"LSTM",2022-01-06,2022-01-07,"chlorophyll-a",10.4461917877197
"LSTM",2022-01-06,2022-01-08,"chlorophyll-a",9.87998676300049
"LSTM",2022-01-06,2022-01-09,"chlorophyll-a",9.73596858978272
"LSTM",2022-01-06,2022-01-10,"chlorophyll-a",9.12471961975098
"LSTM",2022-01-06,2022-01-11,"chlorophyll-a",8.48548793792725
"LSTM",2022-01-06,2022-01-12,"chlorophyll-a",8.24117469787598
"LSTM",2022-01-06,2022-01-13,"chlorophyll-a",7.97868776321411
"LSTM",2022-01-06,2022-01-14,"chlorophyll-a",8.08965015411377
"LSTM",2022-01-06,2022-01-15,"chlorophyll-a",8.56956481933594
"LSTM",2022-01-06,2022-01-16,"chlorophyll-a",9.36179447174072
"LSTM",2022-01-06,2022-01-17,"chlorophyll-a",10.52086353302
"LSTM",2022-01-06,2022-01-18,"chlorophyll-a",11.6285448074341
"LSTM",2022-01-06,2022-01-19,"chlorophyll-a",11.986536026001
"LSTM",2022-01-06,2022-01-20,"chlorophyll-a",13.1269454956055
"LSTM",2022-01-06,2022-01-21,"chlorophyll-a",14.2600593566895
"LSTM",2022-01-06,2022-01-22,"chlorophyll-a",14.2471961975098
"LSTM",2022-01-06,2022-01-23,"chlorophyll-a",14.9736948013306
"LSTM",2022-01-06,2022-01-24,"chlorophyll-a",15.769305229187
"LSTM",2022-01-06,2022-01-25,"chlorophyll-a",15.5354242324829
"LSTM",2022-01-06,2022-01-26,"chlorophyll-a",15.9138450622559
"LSTM",2022-01-07,2022-01-07,"chlorophyll-a",10.6395833333333
"LSTM",2022-01-07,2022-01-08,"chlorophyll-a",11.1178674697876
"LSTM",2022-01-07,2022-01-09,"chlorophyll-a",10.6569128036499
"LSTM",2022-01-07,2022-01-10,"chlorophyll-a",9.96769428253174
"LSTM",2022-01-07,2022-01-11,"chlorophyll-a",9.79102897644043
"LSTM",2022-01-07,2022-01-12,"chlorophyll-a",9.15634632110596
"LSTM",2022-01-07,2022-01-13,"chlorophyll-a",8.47760486602783
"LSTM",2022-01-07,2022-01-14,"chlorophyll-a",8.2222843170166
"LSTM",2022-01-07,2022-01-15,"chlorophyll-a",7.95696258544922
"LSTM",2022-01-07,2022-01-16,"chlorophyll-a",8.07973003387451
"LSTM",2022-01-07,2022-01-17,"chlorophyll-a",8.57093715667725
"LSTM",2022-01-07,2022-01-18,"chlorophyll-a",9.35690307617188
"LSTM",2022-01-07,2022-01-19,"chlorophyll-a",10.5408210754395
"LSTM",2022-01-07,2022-01-20,"chlorophyll-a",11.6830730438232
"LSTM",2022-01-07,2022-01-21,"chlorophyll-a",12.0270376205444
"LSTM",2022-01-07,2022-01-22,"chlorophyll-a",13.1746320724487
"LSTM",2022-01-07,2022-01-23,"chlorophyll-a",14.3597602844238
"LSTM",2022-01-07,2022-01-24,"chlorophyll-a",14.3033494949341
"LSTM",2022-01-07,2022-01-25,"chlorophyll-a",15.0367736816406
"LSTM",2022-01-07,2022-01-26,"chlorophyll-a",15.9333744049072
"LSTM",2022-01-07,2022-01-27,"chlorophyll-a",15.6609630584717
"LSTM",2022-01-08,2022-01-08,"chlorophyll-a",11.7771527916667
"LSTM",2022-01-08,2022-01-09,"chlorophyll-a",11.4322347640991
