"datetime","PAR_umolm2s_mean","Temp_C_mean","SRP_ugL","DIN_ugL","Chla_ugL_mean","Flag_PAR_umolm2s_mean","Flag_Temp_C_mean","Flag_SRP_ugL","Flag_DIN_ugL","Flag_Chla_ugL_mean"
2018-08-06,426.01,26.9883076923077,10,24,3.41923076923077,0,0,0,0,0
2018-08-07,484.66,27.0968611111111,9.57142857142857,23.4285714285714,4.01256944444444,0,0,1,1,0
2018-08-08,456.78,27.1645486111111,9.14285714285714,22.8571428571429,6.26743055555556,0,0,1,1,0
2018-08-09,568.08,27.0491875,8.71428571428572,22.2857142857143,8.28416666666667,0,0,1,1,0
2018-08-10,536.88,27.1866388888889,8.28571428571429,21.7142857142857,10.8916666666667,0,0,1,1,0
2018-08-11,409.14,27.2431666666667,7.85714285714286,21.1428571428571,13.5690972222222,0,0,1,1,0
2018-08-12,276.33,27.0802569444444,7.42857142857143,20.5714285714286,15.0504166666667,0,0,1,1,0
2018-08-13,427.33,26.5878472222222,7,20,14.0699305555556,0,0,0,0,0
2018-08-14,496.71,26.0491319444444,7.28571428571429,18.1428571428571,10.9804861111111,0,0,1,1,0
2018-08-15,486.2,26.0208541666667,7.57142857142857,16.2857142857143,8.18104166666667,0,0,1,1,0
2018-08-16,496.82,26.0243194444444,7.85714285714286,14.4285714285714,7.14875,0,0,1,1,0
2018-08-17,491.06,26.7137916666667,8.14285714285714,12.5714285714286,6.14347222222222,0,0,1,1,0
2018-08-18,190.54,26.8460833333333,8.42857142857143,10.7142857142857,6.31229166666667,0,0,1,1,0
2018-08-19,348.75,26.0161319444444,8.71428571428571,8.85714285714286,7.77319444444444,0,0,1,1,0
2018-08-20,175.1,26.014094017094,9,7,8.14709401709402,0,0,0,0,0
2018-08-21,187,25.9514520566239,8.42857142857143,8.57142857142857,8.6656968482906,0,1,1,1,1
2018-08-22,439.46,25.8888100961538,7.85714285714286,10.1428571428571,9.18429967948718,0,1,1,1,1
2018-08-23,533.23,25.8261681356838,7.28571428571429,11.7142857142857,9.70290251068376,0,1,1,1,1
2018-08-24,517.85,25.7635261752137,6.71428571428571,13.2857142857143,10.2215053418803,0,1,1,1,1
2018-08-25,461.27,25.7008842147436,6.14285714285714,14.8571428571429,10.7401081730769,0,1,1,1,1
2018-08-26,364.7,25.6382422542735,5.57142857142857,16.4285714285714,11.2587110042735,0,1,1,1,1
2018-08-27,423.67,25.5756002938034,5,18,11.7773138354701,0,1,0,0,1
2018-08-28,451.28,25.5129583333333,6.42857142857143,17.1428571428571,12.2959166666667,0,0,1,1,0
2018-08-29,475.59,25.9354195804196,7.85714285714286,16.2857142857143,10.7692307622378,0,0,1,1,0
2018-08-30,379.01,26.4100563380282,9.28571428571428,15.4285714285714,9.4954225,0,0,1,1,0
2018-08-31,381.96,26.4373055555556,10.7142857142857,14.5714285714286,8.87354170138889,0,0,1,1,0
2018-09-01,340.73,26.6020839160839,12.1428571428571,13.7142857142857,8.12755246153846,0,0,1,1,0
2018-09-02,445.82,26.2545208333333,13.5714285714286,12.8571428571429,7.29020834027778,0,0,1,1,0
2018-09-03,516.63,26.5033986013986,15,12,5.83804195804196,0,0,0,0,0
2018-09-04,399.47,27.2527916666667,14.8571428571429,13.5714285714286,4.06104166666667,0,0,1,1,0
2018-09-05,388.72,27.1807902097902,14.7142857142857,15.1428571428571,3.78377622377622,0,0,1,1,0
2018-09-06,451.06,27.1127916666667,14.5714285714286,16.7142857142857,3.19958333333333,0,0,1,1,0
2018-09-07,391.5,27.2212847222222,14.4285714285714,18.2857142857143,3.19743055555556,0,0,1,1,0
2018-09-08,288.88,27.1131875,14.2857142857143,19.8571428571429,3.52298611111111,0,0,1,1,0
2018-09-09,104.25,25.7705972222222,14.1428571428571,21.4285714285714,4.84326388888889,0,0,1,1,0
2018-09-10,125.57,24.3326549295775,14,23,8.23035211971831,0,0,0,0,0
2018-09-11,202.32,23.7670902777778,13.4285714285714,23.5714285714286,9.30916663888889,0,0,1,1,0
2018-09-12,219.91,23.9063986013986,12.8571428571429,24.1428571428571,8.02804191608392,0,0,1,1,0
2018-09-13,362.02,24.5504791666667,12.2857142857143,24.7142857142857,7.57416665972222,0,0,1,1,0
2018-09-14,171.11,24.8806013986014,11.7142857142857,25.2857142857143,8.07818181818182,0,0,1,1,0
2018-09-15,185.19,24.2416293706294,11.1428571428571,25.8571428571429,8.08405594405594,0,0,1,1,0
2018-09-16,87.41,23.5681773049645,10.5714285714286,26.4285714285714,8.69375885815603,0,0,1,1,0
2018-09-17,213.67,22.903323943662,10,27,9.52753521126761,0,0,0,0,0
2018-09-18,254.58,23.2069432624113,10.2857142857143,24.1428571428571,10.0410638439716,0,0,1,1,0
2018-09-19,438.62,23.3139214285714,10.5714285714286,21.2857142857143,9.81678569285714,0,0,1,1,0
2018-09-20,369.9,23.8803649635036,10.8571428571429,18.4285714285714,8.71167878832117,0,0,1,1,0
2018-09-21,360.43,23.9543636363636,11.1428571428571,15.5714285714286,8.95783216783217,0,0,1,1,0
2018-09-22,278.5,24.7035944055944,11.4285714285714,12.7142857142857,5.27958041258741,0,0,1,1,0
2018-09-23,93.67,23.6820972222222,11.7142857142857,9.85714285714286,6.169861125,0,0,1,1,0
2018-09-24,76.48,23.3815691119976,12,7,6.12176677958777,0,1,0,0,1
2018-09-25,165.44,23.081041001773,12.2857142857143,7.85714285714286,6.07367243417553,0,1,1,1,1
2018-09-26,299.23,22.7805128915485,12.5714285714286,8.71428571428571,6.0255780887633,0,1,1,1,1
