"Date","AirTemp_C","Shortwave_Wm2","Windspeed_ms","Inflow_cms","WaterTemp_C","SRP_ugL","DIN_ugL","LightAttenuation_Kd","Chla_ugL","Flag_AirTemp_C","Flag_Shortwave_Wm2","Flag_Windspeed_ms","Flag_Inflow_cms","Flag_WaterTemp_C","Flag_SRP_ugL","Flag_DIN_ugL","Flag_LightAttenuation_Kd","Flag_Chla_ugL"
2021-01-03,5.6795,1.283,1.228,0.0172753904183813,5.112,5.42706800949314,14.3993667510528,0.94865861414552,9.97,0,0,0,0,0,1,1,1,0
2021-01-04,3.748,2.298,1.364,0.0179583966520908,5.041,5.44174995263033,14.4023352802393,0.947275610968375,10.9,0,0,0,0,0,1,1,1,0
2021-01-05,4.2795,1.478,1.745,0.0175012944119614,4.8575,5.45643189576752,14.4053038094258,0.94589260779123,11.42,0,0,0,0,0,1,1,1,0
2021-01-06,2.248,1.7905,2.8675,0.0171633177486633,4.772,5.47111383890471,14.4082723386124,0.944509604614085,11.56,0,0,0,0,0,1,1,1,0
2021-01-07,2.091,2.113,1.912,0.0163893150499487,4.6,5.4857957820419,14.4112408677989,0.94312660143694,10.96,0,0,0,0,0,1,1,1,0
2021-01-08,1.833,1.094,1.5475,0.0144969939316657,4.51,5.50047772517909,14.4142093969854,0.941743598259795,11.77,0,0,0,0,0,1,1,1,0
2021-01-09,0.91,2.0885,4.862,0.0157430470301802,4.12,5.51515966831628,14.4171779261719,0.94036059508265,12.585,0,0,0,0,0,1,1,1,0
2021-01-10,-0.6195,2.3995,2.465,0.014802949566719,3.762,5.52984161145348,14.4201464553584,0.938977591905505,12.11,0,0,0,0,0,1,1,1,0
2021-01-11,2.329,1.984,1.74,0.0129305002623908,3.431,5.54452355459067,14.423114984545,0.93759458872836,12.265,0,0,0,0,0,1,1,1,0
2021-01-12,3.167,2.1445,2.5545,0.0137003155362747,3.4645,5.55920546606528,14.4260835238363,0.936211582767383,12.735,0,0,0,0,0,1,1,1,0
2021-01-13,1.4305,2.318,2.391,0.0135053553064909,3.357,5.57388718756443,14.4290521237567,0.934828560103414,12.985,0,0,0,0,0,1,1,1,0
2021-01-14,2.814,1.8795,2.1275,0.0123705820297391,3.279,5.58856852911267,14.432020844935,0.933445504033461,13.155,0,0,0,0,0,1,1,1,0
2021-01-15,0.466,1.971,1.7975,0.012555569898259,3.258,5.60324930073452,14.4349897480002,0.932062397854531,14.18,0,0,0,0,0,1,1,1,0
2021-01-16,0.701,2.096,2.238,0.0117362503179479,3.135,5.61792931245453,14.4379588935814,0.930679224863633,14.5,0,0,0,0,0,1,1,1,0
2021-01-17,2.8365,0.8645,1.71,0.011295028164345,3.382,5.63260837429724,14.4409283423076,0.929295968357775,15.045,0,0,0,0,0,1,1,1,0
2021-01-18,1.3475,2.0185,1.874,0.0111214519475579,3.375,5.64728629628719,14.4438981548076,0.927912611633964,15.77,0,0,0,0,0,1,1,1,0
2021-01-19,2.1085,2.0185,1.697,0.0107791256282236,3.272,5.66196288844892,14.4468683917106,0.926529137989208,15.045,0,0,0,0,0,1,1,1,0
2021-01-20,3.091,2.376,2.435,0.0104432006412458,3.11,5.67663796080697,14.4498391136454,0.925145530720515,15.15,0,0,0,0,0,1,1,1,0
2021-01-21,4.1195,1.7905,2.4265,0.00979039278143059,3.172,5.69131132338587,14.4528103812411,0.923761773124894,14.13,0,0,0,0,0,1,1,1,0
2021-01-22,3.9255,2.263,2.093,0.00955227825842326,3.535,5.70598278621017,14.4557822551266,0.922377848499352,14.905,0,0,0,0,0,1,1,1,0
2021-01-23,-0.7995,2.788,2.405,0.00931728797073549,3.198,5.72065215930441,14.458754795931,0.920993740140897,14.47,0,0,0,0,0,1,1,1,0
2021-01-24,1.078,2.216,1.392,0.00855979758605468,3.061,5.73531925269312,14.4617280642832,0.919609431346536,14.715,0,0,0,0,0,1,1,1,0
2021-01-25,1.727,0.42,1.282,0.0092415467471351,3.027,5.74998387640086,14.4647021208123,0.918224905413278,14.69,0,0,0,0,0,1,1,1,0
2021-01-26,1.4255,1.25,1.101,0.0363440582122329,3.101,5.76464584045215,14.4676770261471,0.916840145638131,15.15,0,0,0,0,0,1,1,1,0
2021-01-27,5.5315,1.306,1.853,0.0311369089613215,3.147,5.77930495487154,14.4706528409167,0.915455135318103,14.88,0,0,0,0,0,1,1,1,0
2021-01-28,-2.6895,2.686,3.8335,0.0330952672439944,3.373,5.79396102968356,14.4736296257501,0.914069857750201,14.7,0,0,0,0,0,1,1,1,0
2021-01-29,-3.661,3.0525,2.256,0.0280308249835101,2.9045,5.80861387491276,14.4766074412762,0.912684296231433,14.01,0,0,0,0,0,1,1,1,0
2021-01-30,-0.7395,2.768,1.6765,0.02292526066725,2.612,5.82326330058367,14.4795863481241,0.911298434058808,14.26,0,0,0,0,0,1,1,1,0
2021-01-31,-1.685,0.5305,1.384,0.0244204031689024,2.827,5.83790911672085,14.4825664069226,0.909912254529332,15.3,0,0,0,0,0,1,1,1,0
2021-02-01,-0.377,0.838,3.5745,0.0223956537636495,2.223,5.85255113334881,14.4855476783009,0.908525740940015,15.135,0,0,0,0,0,1,1,1,0
2021-02-02,-1.556,1.442,5.149,0.0208511501766152,2.289,5.86718916049211,14.4885302228879,0.907138876587864,15.32,0,0,0,0,0,1,1,1,0
2021-02-03,-0.249,2.454,2.8065,0.0177289616352802,2.198,5.88182300817529,14.4915141013126,0.905751644769887,16.405,0,0,0,0,0,1,1,1,0
2021-02-04,3.405,1.627,2.1935,0.0161721583310052,1.944,5.89645248642288,14.4944993742039,0.904364028783092,16.125,0,0,0,0,0,1,1,1,0
2021-02-05,3.906,1.7505,1.942,0.0160644477691511,2.326,5.91107740525943,14.4974861021909,0.902976011924486,17.16,0,0,0,0,0,1,1,1,0
2021-02-06,3.2585,1.4395,1.9515,0.0153208408584562,2.5,5.92569757470947,14.5004743459025,0.901587577491078,18.81,0,0,0,0,0,1,1,1,0
2021-02-07,0.426,2.434,2.8325,0.0172753904183813,2.516,5.94031280479755,14.5034641659678,0.900198708779875,19.32,0,0,0,0,0,1,1,1,0
2021-02-08,-0.838,2.715,1.614,0.0161721583310052,2.6035,4,20,1.21428571428571,19.085,0,0,0,0,0,0,0,0,0
2021-02-09,6.7915,1.529,1.624,0.015425961998475,2.875,5.96952768698596,14.5094487776751,0.897419601712118,20.39,0,0,0,0,0,1,1,1,0
2021-02-10,3.1845,0.3585,1.662,0.0161721583310052,3.195,5.98412695913537,14.5124436905751,0.89602932994958,22.035,0,0,0,0,0,1,1,1,0
2021-02-11,1.877,0.8055,1.171,0.016940049442534,3.404,5.99872053202098,14.5154404223447,0.894638557097278,23.03,0,0,0,0,0,1,1,1,0
2021-02-12,-1.888,1.329,0.94,0.0251222656307855,3.088,6.01330821566732,14.5184390336128,0.893247266452221,25.805,0,0,0,0,0,1,1,1,0
2021-02-13,-0.0935,0.7625,0.862,0.0202272904913353,2.9625,6.02788982009894,14.5214395850085,0.891855441311418,25.895,0,0,0,0,0,1,1,1,0
2021-02-14,0.915,0.787,0.653,0.0344408424019347,3.0175,6.04246515534037,14.5244421371607,0.890463064971875,25.24,0,0,0,0,0,1,1,1,0
2021-02-15,0.4425,0.648,1.0525,0.0372291527360057,3.367,6.05703403141615,14.5274467506984,0.889070120730601,23.935,0,0,0,0,0,1,1,1,0
2021-02-16,0.3315,2.388,1.7495,0.0586397659862785,3.298,6.07159625835082,14.5304534862505,0.887676591884604,24.18,0,0,0,0,0,1,1,1,0
2021-02-17,-2.1485,2.3975,2.024,0.0586397659862785,3.2285,6.08615164616892,14.5334624044462,0.886282461730891,23.075,0,0,0,0,0,1,1,1,0
2021-02-18,-1.068,0.794,1.5295,0.0579398564292263,3.073,6.100700004895,14.5364735659143,0.884887713566471,23.63,0,0,0,0,0,1,1,1,0
2021-02-19,0.696,2.3875,3.185,0.0584060891314976,2.983,6.11524114455358,14.5394870312839,0.883492330688351,22.61,0,0,0,0,0,1,1,1,0
2021-02-20,-3.977,2.762,2.731,0.0586397659862785,2.962,6.12977487516922,14.5425028611839,0.88209629639354,22.2,0,0,0,0,0,1,1,1,0
2021-02-21,-0.5905,3.106,1.748,0.0554152462383987,3.114,6.14430100676645,14.5455211162433,0.880699593979044,22.76,0,0,0,0,0,1,1,1,0
2021-02-22,3.435,1.187,2.556,0.0540666867219469,3.344,6.15881934936981,14.5485418570911,0.879302206741873,24.515,0,0,0,0,0,1,1,1,0
2021-02-23,6.469,2.465,2.049,0.0522995223349444,3.501,6.17332971300384,14.5515651443563,0.877904117979034,23.63,0,0,0,0,0,1,1,1,0
2021-02-24,8.2,1.8865,2.448,0.0478274555253654,3.659,6.18783190769308,14.5545910386679,0.876505310987534,24.76,0,0,0,0,0,1,1,1,0
2021-02-25,8.8,1.6035,2.771,0.0424256776293791,5.122,6.20232574346207,14.5576196006549,0.875105769064383,21.87,0,0,0,0,0,1,1,1,0
2021-02-26,5.0375,1.604,1.652,0.0397765078492083,5.41,8,10,1.13333333333333,24.85,0,0,0,0,0,0,0,0,0
2021-02-27,5.746,1.0005,0.954,0.0467975387221847,5.0415,6.23128757833746,14.5636849701708,0.872304413611154,26.61,0,0,0,0,0,1,1,1,0
2021-02-28,9.53,0.147,1.344,0.0572444273046532,5.506,6.24575519749294,14.5667218989577,0.870902566675093,27.51,0,0,0,0,0,1,1,1,0
2021-03-01,11.19,1.8265,2.5305,0.0586397659862785,5.921,6.26021369782633,14.5697617379359,0.869499917995412,28.84,0,0,0,0,0,1,1,1,0
2021-03-02,1.7195,3.076,1.7715,0.0572444273046527,5.6965,6.27466288936217,14.5728045477345,0.868096450869118,27.98,0,0,0,0,0,1,1,1,0
2021-03-03,6.261,3.2045,1.98,0.0545139922707244,5.74,6.289102582125,14.5758503889823,0.866692148593219,23.15,0,0,0,0,0,1,1,1,0
2021-03-04,8.75,2.844,2.45,0.0509972072081631,6.518,6.30353258613935,14.5788993223083,0.865286994464723,22.96,0,0,0,0,0,1,1,1,0
2021-03-05,2.0755,3.112,2.511,0.0451779835992739,6.2435,6.31795271142978,14.5819514083416,0.863880971780638,24.43,0,0,0,0,0,1,1,1,0
2021-03-06,3.1275,3.204,2.4795,0.0397765078492087,6.226,6.33236276802081,14.5850067077111,0.862474063837972,23.51,0,0,0,0,0,1,1,1,0
2021-03-07,2.927,3.856,1.6895,0.0354712079206085,6.246,6.34676256593699,14.5880652810459,0.861066253933733,23.04,0,0,0,0,0,1,1,1,0
2021-03-08,3.8165,3.231,2.076,0.0327638906135259,6.302,6.36115191520285,14.5911271889748,0.859657525364929,21.49,0,0,0,0,0,1,1,1,0
2021-03-09,9.29,3.548,2.219,0.0308174645698962,6.622,6.37553062584295,14.5941924921269,0.858247861428567,20.62,0,0,0,0,0,1,1,1,0
2021-03-10,9.845,2.372,2.1795,0.0289421191822964,7.1705,6.38989850788181,14.5972612511312,0.856837245421656,18.64,0,0,0,0,0,1,1,1,0
2021-03-11,11.52,1.8285,1.86,0.0271369674445789,7.9665,6.40425537134398,14.6003335266167,0.855425660641204,17.725,0,0,0,0,0,1,1,1,0
2021-03-12,15.86,1.6775,2.2915,0.0259720862706896,8.4375,6.41860102625399,14.6034093792123,0.854013090384218,18.33,0,0,0,0,0,1,1,1,0
2021-03-13,11.16,2.5175,2.0485,0.0234623117561584,9.4729995,6.43293528263639,14.606488869547,0.852599517947705,16.005,0,0,0,0,0,1,1,1,0
2021-03-14,10.615,2.58,3.425,0.0216151252679492,8.994001,6.44725795051572,14.6095720582498,0.851184926628676,15.32,0,0,0,0,0,1,1,1,0
2021-03-15,5.619,3.5,1.5605,0.0193723845169783,8.148,6.46156883991652,14.6126590059497,0.849769299724136,18.26,0,0,0,0,0,1,1,1,0
2021-03-16,4.7035,2.3015,1.835,0.0196143208973929,7.813,6.47586776086332,14.6157497732758,0.848352620531094,22.215,0,0,0,0,0,1,1,1,0
2021-03-17,6.8395,1.058,1.731,0.0188939055198723,7.989,6.49015452338066,14.6188444208568,0.846934872346558,16.46,0,0,0,0,0,1,1,1,0
2021-03-18,8.625,1.048,1.7215,0.0238702406305333,8.5935005,6.50442893749309,14.621943009322,0.845516038467536,16.425,0,0,0,0,0,1,1,1,0
2021-03-19,6.4185,3.8425,4.1895,0.0358187194238448,9.045999,6.51869081322515,14.6250455993001,0.844096102191036,13.52,0,0,0,0,0,1,1,1,0
2021-03-20,5.478,4.406,1.4175,0.0321071297825879,8.737001,6.53293996060137,14.6281522514203,0.842675046814065,14.66,0,0,0,0,0,1,1,1,0
2021-03-21,8.24,4.3715,1.738,0.0295593909848092,9.2505005,6.54717618964629,14.6312630263115,0.841252855633631,11.91,0,0,0,0,0,1,1,1,0
2021-03-22,11.705,3.639,2.082,0.0292497780950131,9.201,2,12,0.971428571428571,11.85,0,0,0,0,0,0,0,0,0
2021-03-23,10.785,2.068,1.664,0.038308494724897,8.878,6.57560913284042,14.6374971869229,0.838404999050409,15.41,0,0,0,0,0,1,1,1,0
2021-03-24,11.05,1.124,1.291,0.038308494724897,9.349,6.58980546703869,14.6406206939011,0.836979300241636,16.11,0,0,0,0,0,1,1,1,0
2021-03-25,14.96,1.1375,2.1315,0.0390383610719011,9.773,6.60398812300384,14.6437485661662,0.835552398817431,17.41,0,0,0,0,0,1,1,1,0
2021-03-26,16.14,2.086,2.637,0.0447784329413008,10.6245,6.61815691076038,14.6468808643472,0.834124278074804,15.2,0,0,0,0,0,1,1,1,0
2021-03-27,12.825,2.638,1.639,0.0428125191251228,11.651,6.63231164033287,14.6500176490732,0.832694921310762,14.57,0,0,0,0,0,1,1,1,0
2021-03-28,13.525,1.61,2.2155,0.0531787002755263,11.263,6.64645212174584,14.6531589809731,0.831264311822312,18.91,0,0,0,0,0,1,1,1,0
2021-03-29,7.361,3.975,1.8215,0.0538441386643824,11.585,6.66057816502384,14.6563049206758,0.829832432906463,15.06,0,0,0,0,0,1,1,1,0
2021-03-30,12.97,3.3745,1.939,0.0509972072081631,11.534,6.67468958019139,14.6594555288105,0.828399267860223,14.045,0,0,0,0,0,1,1,1,0
2021-03-31,14.26,1.349,1.7615,0.0505674745930147,12.044,6.68878617727305,14.662610866006,0.8269647999806,15.92,0,0,0,0,0,1,1,1,0
2021-04-01,3.032,3.7195,4.554,0.0563253815884654,11.734,6.70286776629335,14.6657709928914,0.825529012564601,16.03,0,0,0,0,0,1,1,1,0
2021-04-02,1.4755,3.809,4.1495,0.0527380120722153,10.438,6.71693415727684,14.6689359700955,0.824091888909234,17.21,0,0,0,0,0,1,1,1,0
2021-04-03,4.517,4.004,1.94,0.0476201804911456,9.524,6.73098516024804,14.6721058582476,0.822653412311507,18.4,0,0,0,0,0,1,1,1,0
2021-04-04,12.945,4.298,2.399,0.0451779835992743,10.303,6.74502058523151,14.6752807179764,0.821213566068429,14.82,0,0,0,0,0,1,1,1,0
2021-04-05,13.91,3.212,2.172,0.0420409409816838,10.4005,6.75904024225178,14.678460609911,0.819772333477007,14.975,0,0,0,0,0,1,1,1,0
2021-04-06,16.575,3.496,2.366,0.0399626019826792,11.3405,6.77304394133339,14.6816455946804,0.818329697834248,13.285,0,0,0,0,0,1,1,1,0
2021-04-07,17.43,3.197,2.2385,0.0379466569683888,11.0325,6.78703149250088,14.6848357329136,0.816885642437162,15.26,0,0,0,0,0,1,1,1,0
2021-04-08,16.775,2.711,1.9825,0.0358187194238448,11.447,6.80100270577879,14.6880310852395,0.815440150582755,15.36,0,0,0,0,0,1,1,1,0
2021-04-09,14.14,2.706,1.362,0.0354712079206081,11.9455,6.81495739119166,14.6912317122871,0.813993205568036,16.515,0,0,0,0,0,1,1,1,0
2021-04-10,14.425,2.499,1.6545,0.0347822733849842,11.867,6.82889535876403,14.6944376746855,0.812544864894747,17.22,0,0,0,0,0,1,1,1,0
2021-04-11,16.725,3.676,1.8725,0.0470026615910712,13.266,6.84281641852044,14.6976490330635,0.811096048694673,16.23,0,0,0,0,0,1,1,1,0
2021-04-12,15.09,4.2535,2.4645,0.0416583053505514,14.1245,6.85672053268954,14.700865841158,0.809648233635107,14.465,0,0,0,0,0,1,1,1,0
