"datetime","Chla_ugL_mean"
2018-07-06,NA
2018-07-07,NA
2018-07-08,NA
2018-07-09,NA
2018-07-10,NA
2018-07-11,NA
2018-07-12,NA
2018-07-13,NA
2018-07-14,NA
2018-07-15,NA
2018-07-16,NA
2018-07-17,NA
2018-07-18,NA
2018-07-19,NA
2018-07-20,NA
2018-07-21,NA
2018-07-22,NA
2018-07-23,NA
2018-07-24,NA
2018-07-25,NA
2018-07-26,NA
2018-07-27,NA
2018-07-28,NA
2018-07-29,NA
2018-07-30,NA
2018-07-31,NA
2018-08-01,NA
2018-08-02,NA
2018-08-03,NA
2018-08-04,NA
2018-08-05,NA
2018-08-06,3.72088235294118
2018-08-07,4.01256944444444
2018-08-08,6.26743055555556
2018-08-09,8.28416666666667
2018-08-10,10.8916666666667
2018-08-11,13.5690972222222
2018-08-12,15.0504166666667
2018-08-13,14.0699305555556
2018-08-14,10.9804861111111
2018-08-15,8.18104166666667
2018-08-16,7.14875
2018-08-17,6.14347222222222
2018-08-18,6.31229166666667
2018-08-19,7.77319444444444
2018-08-20,8.14709401709402
2018-08-21,NA
2018-08-22,NA
2018-08-23,NA
2018-08-24,NA
2018-08-25,NA
2018-08-28,12.2959166666667
2018-08-29,10.7692307622378
2018-08-30,9.4954225
2018-08-31,8.87354170138889
2018-09-01,8.12755246153846
2018-09-02,7.29020834027778
2018-09-03,5.83804195804196
2018-09-04,4.06104166666667
2018-09-05,3.78377622377622
2018-09-06,3.19958333333333
2018-09-07,3.19743055555556
2018-09-08,3.52298611111111
2018-09-09,4.84326388888889
2018-09-10,8.23035211971831
2018-09-11,9.30916663888889
2018-09-12,8.02804191608392
2018-09-13,7.57416665972222
2018-09-14,8.07818181818182
2018-09-15,8.08405594405594
2018-09-16,8.69375885815603
2018-09-17,9.52753521126761
2018-09-18,10.0410638439716
2018-09-19,9.81678569285714
2018-09-20,8.71167878832117
2018-09-21,8.95783216783217
2018-09-22,5.27958041258741
2018-09-23,6.169861125
2018-09-26,NA
2018-09-27,NA
2018-09-28,NA
