"datetime","AirTemp_C_mean","PAR_umolm2s_mean","WindSpeed_ms_mean","Flow_cms_mean","Temp_C_mean","SRP_ugL","DIN_ugL","LightAttenuation_Kd","Chla_ugL_mean","Flag_AirTemp_C_mean","Flag_PAR_umolm2s_mean","Flag_WindSpeed_ms_mean","Flag_Flow_cms_mean","Flag_Temp_C_mean","Flag_SRP_ugL","Flag_DIN_ugL","Flag_LightAttenuation_Kd","Flag_Chla_ugL_mean"
2018-08-06,25.42,426.01,1.98,0.00050526315789473,26.9744117647059,10,24,0.913978494623656,3.72088235294118,0,0,0,0,0,0,0,0,0
2018-08-07,26.48,484.66,2.03,0.00040625,27.0968611111111,9.57142857142857,23.4285714285714,0.913978494623656,4.01256944444444,0,0,0,0,0,1,1,1,0
2018-08-08,26.39,456.78,1.96,0.00034375,27.1645486111111,9.14285714285714,22.8571428571429,0.913978494623656,6.26743055555556,0,0,0,0,0,1,1,1,0
2018-08-09,26.33,568.08,2.41,0.00022916666666666,27.0491875,8.71428571428572,22.2857142857143,0.913978494623656,8.28416666666667,0,0,0,0,0,1,1,1,0
2018-08-10,25.17,536.88,2.17,0.00010416666666666,27.1866388888889,8.28571428571429,21.7142857142857,0.913978494623656,10.8916666666667,0,0,0,0,0,1,1,1,0
2018-08-11,25.2,409.14,1.36,0.00016842105263157,27.2431666666667,7.85714285714286,21.1428571428571,0.913978494623656,13.5690972222222,0,0,0,0,0,1,1,1,0
2018-08-12,22.83,276.33,1.5,0.00025,27.0802569444444,7.42857142857143,20.5714285714286,0.913978494623656,15.0504166666667,0,0,0,0,0,1,1,1,0
2018-08-13,22.4,427.33,1.61,0.00013684210526315,26.5878472222222,7,20,0.913978494623656,14.0699305555556,0,0,0,0,0,0,0,1,0
2018-08-14,23.59,496.71,1.79,0,26.0491319444444,7.28571428571429,18.1428571428571,0.913978494623656,10.9804861111111,0,0,0,0,0,1,1,1,0
2018-08-15,24.27,486.2,2.3,0,26.0208541666667,7.57142857142857,16.2857142857143,0.913978494623656,8.18104166666667,0,0,0,0,0,1,1,1,0
2018-08-16,25.33,496.82,1.39,5.454545454545e-05,26.0243194444444,7.85714285714286,14.4285714285714,0.913978494623656,7.14875,0,0,0,0,0,1,1,1,0
2018-08-17,26.45,491.06,1.4,5.76923076923e-05,26.7137916666667,8.14285714285714,12.5714285714286,0.913978494623656,6.14347222222222,0,0,0,0,0,1,1,1,0
2018-08-18,24.61,190.54,1.37,0.00526865671641791,26.8460833333333,8.42857142857143,10.7142857142857,0.913978494623656,6.31229166666667,0,0,0,0,0,1,1,1,0
2018-08-19,24.57,348.75,1.38,0.00039583333333333,26.0161319444444,8.71428571428571,8.85714285714286,0.913978494623656,7.77319444444444,0,0,0,0,0,1,1,1,0
2018-08-20,22.35,175.1,1.21,0,26.014094017094,9,7,0.913978494623656,8.14709401709402,0,0,0,0,0,0,0,1,0
2018-08-21,23.84,187,1.11,0.00341666666666666,25.9514520566239,8.42857142857143,8.57142857142857,0.913978494623656,8.6656968482906,0,0,0,0,1,1,1,1,1
2018-08-22,24.24,439.46,1.93,0.00098958333333333,25.8888100961538,7.85714285714286,10.1428571428571,0.913978494623656,9.18429967948718,0,0,0,0,1,1,1,1,1
2018-08-23,20.53,533.23,2.87,4.494382022471e-05,25.8261681356838,7.28571428571429,11.7142857142857,0.913978494623656,9.70290251068376,0,0,0,0,1,1,1,1,1
2018-08-24,19.89,517.85,1.67,0,25.7635261752137,6.71428571428571,13.2857142857143,0.913978494623656,10.2215053418803,0,0,0,0,1,1,1,1,1
2018-08-25,20.37,461.27,1.12,0,25.7008842147436,6.14285714285714,14.8571428571429,0.913978494623656,10.7401081730769,0,0,0,0,1,1,1,1,1
2018-08-26,21.94,364.7,1.35,1.111111111111e-05,25.6382422542735,5.57142857142857,16.4285714285714,0.913978494623656,11.2587110042735,0,0,0,0,1,1,1,1,1
2018-08-27,26.38,423.67,1.71,0.00012903225806451,25.5756002938034,5,18,0.913978494623656,11.7773138354701,0,0,0,0,1,0,0,0,1
2018-08-28,26.3,451.28,1.52,0.00021518987341772,25.5129583333333,6.42857142857143,17.1428571428571,0.937117190690078,12.2959166666667,0,0,0,0,0,1,1,1,0
2018-08-29,25.78,475.59,1.52,7.35294117647e-05,25.9354195804196,7.85714285714286,16.2857142857143,0.960255886756499,10.7692307622378,0,0,0,0,0,1,1,1,0
2018-08-30,26.81,379.01,1.7,0.001,26.4100563380282,9.28571428571428,15.4285714285714,0.983394582822921,9.4954225,0,0,0,0,0,1,1,1,0
2018-08-31,23.85,381.96,1.25,1.041666666666e-05,26.4373055555556,10.7142857142857,14.5714285714286,1.00653327888934,8.87354170138889,0,0,0,0,0,1,1,1,0
2018-09-01,24.02,340.73,1.3,0.00019444444444444,26.6020839160839,12.1428571428571,13.7142857142857,1.02967197495576,8.12755246153846,0,0,0,0,0,1,1,1,0
2018-09-02,24.47,445.82,1.26,5.882352941176e-05,26.2545208333333,13.5714285714286,12.8571428571429,1.05281067102219,7.29020834027778,0,0,0,0,0,1,1,1,0
2018-09-03,25.27,516.63,1.45,0.00011111111111111,26.5033986013986,15,12,1.07594936708861,5.83804195804196,0,0,0,0,0,0,0,0,0
2018-09-04,24.41,399.47,1.67,0,27.2527916666667,14.8571428571429,13.5714285714286,1.06854179829626,4.06104166666667,0,0,0,0,0,1,1,1,0
2018-09-05,24.73,388.72,1.38,0,27.1807902097902,14.7142857142857,15.1428571428571,1.06113422950391,3.78377622377622,0,0,0,0,0,1,1,1,0
