"datetime","depth","variable","observation"
2018-09-18,NA,"inflow_rate",0.0861
2018-09-18,NA,"n_load",0.07119609
2018-09-18,NA,"p_load",0.01333689
2018-09-19,NA,"inflow_rate",0.0724
2018-09-19,NA,"n_load",0.05924492
2018-09-19,NA,"p_load",0.011765
2018-09-20,NA,"inflow_rate",0.0675
2018-09-20,NA,"n_load",0.054648
2018-09-20,NA,"p_load",0.011475
2018-09-21,NA,"inflow_rate",0.0656
2018-09-21,NA,"n_load",0.05255216
2018-09-21,NA,"p_load",0.011644
2018-09-22,NA,"inflow_rate",0.0886
2018-09-22,NA,"n_load",0.07020664
2018-09-22,NA,"p_load",0.016391
2018-09-23,NA,"inflow_rate",0.1662
2018-09-23,NA,"n_load",0.13026756
2018-09-23,NA,"p_load",0.0319935
2018-09-24,NA,"inflow_rate",0.0954
2018-09-24,NA,"n_load",0.07394454
2018-09-24,NA,"p_load",0.01908954
2018-09-25,NA,"inflow_rate",0.082
2018-09-25,NA,"n_load",0.0614016
2018-09-25,NA,"p_load",0.015908
2018-09-26,NA,"inflow_rate",0.0777
2018-09-26,NA,"n_load",0.05613048
2018-09-26,NA,"p_load",0.0146076
2018-09-27,NA,"inflow_rate",0.0886
2018-09-27,NA,"n_load",0.06167446
2018-09-27,NA,"p_load",0.0161252
2018-09-28,NA,"inflow_rate",0.1023
2018-09-28,NA,"n_load",0.06852054
2018-09-28,NA,"p_load",0.0180048
2018-09-29,NA,"inflow_rate",0.0946
2018-09-29,NA,"n_load",0.06085618
2018-09-29,NA,"p_load",0.016082
2018-09-30,NA,"inflow_rate",0.0875
2018-09-30,NA,"n_load",0.0539875
2018-09-30,NA,"p_load",0.01435
2018-10-01,NA,"inflow_rate",0.0852
2018-10-01,NA,"n_load",0.05032764
2018-10-01,NA,"p_load",0.01345308
2018-10-02,NA,"inflow_rate",0.083
2018-10-02,NA,"n_load",0.0451354
2018-10-02,NA,"p_load",0.013861
2018-10-03,NA,"inflow_rate",0.0808
2018-10-03,NA,"n_load",0.04016568
2018-10-03,NA,"p_load",0.0142208
2018-10-04,NA,"inflow_rate",0.0777
2018-10-04,NA,"n_load",0.03498054
2018-10-04,NA,"p_load",0.0143745
2018-10-05,NA,"inflow_rate",0.0738
